POSTO,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
6,875,1978,1208,995,628,553,500,349,314,349,765,1585
8,113,310,192,174,114,71,99,58,52,49,79,159
11,75,204,137,131,82,47,76,43,37,35,33,97
12,130,316,202,178,112,83,95,60,53,55,93,211
17,117,1213,915,1100,178,219,137,165,139,133,213,915
18,149,578,425,459,188,145,163,108,95,98,138,356
24,621,1240,1147,1286,699,451,367,275,215,277,486,1139
25,399,795,736,825,448,289,235,176,138,178,312,731
31,1080,2154,1994,2237,1214,784,637,477,374,481,844,1979
32,96,192,178,199,109,69,57,42,33,43,75,176
33,686,1368,1266,1420,771,498,405,304,238,306,537,1257
34,917,1168,1222,1244,878,678,594,548,512,626,801,1227
37,194,628,307,216,161,324,297,154,135,127,289,322
40,117,294,257,145,89,115,183,78,65,68,134,156
42,13,48,53,28,13,7,36,8,5,5,17,20
43,0,21,63,41,22,0,86,22,16,14,19,22
45,298,421,401,530,398,315,269,251,223,188,244,456
46,332,461,588,283,343,361,567,181,188,237,342,372
47,99,282,271,181,112,174,238,117,113,106,113,103
49,14,127,93,41,25,71,103,38,28,32,32,21
50,50,114,100,75,59,90,107,62,57,54,63,63
61,138,543,558,262,199,425,780,280,204,218,224,185
62,9,26,63,27,19,27,75,28,19,18,20,15
63,33,113,169,74,53,96,219,79,54,57,58,47
66,447,684,890,354,462,523,913,155,150,287,455,549
74,128,268,468,193,132,231,953,255,220,376,269,296
76,30,54,83,38,22,41,163,65,57,81,89,117
77,34,45,37,30,27,37,62,54,50,57,75,23
82,91,107,148,116,72,107,240,176,108,148,173,203
86,19,89,43,26,28,30,54,187,176,117,37,44
91,31,110,67,45,46,54,67,114,196,173,78,127
92,21,77,52,29,32,33,44,98,121,130,49,83
93,2,3,7,1,2,8,13,19,14,22,33,7
103,6,11,19,4,7,24,37,56,40,64,98,21
115,11,23,17,13,9,12,18,8,15,27,13,15
156,1340,2116,1395,1684,819,582,461,348,298,354,959,2172
169,4292,4828,6578,5466,7945,3357,2130,1730,1405,1624,2308,3421
172,69,75,225,411,309,478,68,41,32,0,0,0
178,0,0,0,11,0,163,24,14,11,0,0,0
227,1448,1828,2110,1837,1253,896,679,546,465,434,915,1315
229,2314,3047,3587,3062,1940,1255,837,582,425,365,1291,2059
251,2778,2849,3601,3524,1689,976,717,543,463,847,1556,3037
257,3850,4260,4375,4405,2628,1163,836,667,569,1017,1566,2266
261,2456,3476,2482,2085,1743,728,381,252,169,671,1173,1559
267,1976,3686,4388,5141,4667,2407,1344,1004,726,1240,1957,2983
275,15547,18386,14338,15724,12197,9071,3971,2597,1937,1445,4046,6980
279,456,637,973,845,507,276,185,122,80,54,115,163
285,23973,34370,38467,39416,28330,13790,6256,5389,6044,7996,13152,19557
287,363,520,582,597,429,209,95,82,92,121,199,296
288,5212,13056,10862,13900,13900,12461,1594,458,144,471,1046,2470
291,2778,2849,3601,3524,1689,976,717,543,463,847,1556,3037
292,325,385,347,351,187,97,68,53,37,74,134,213
295,1340,2116,1395,1684,819,582,461,348,298,354,959,2172
302,2456,3476,2482,2085,1743,728,381,252,169,671,1173,1559
303,3191,3429,3721,3679,2185,974,713,573,503,869,1305,1867
306,334,446,307,375,256,92,55,41,29,74,127,186
314,1100,1600,3250,21864,13052,1600,1100,900,750,700,800,900
