,NO_PAI,NO,Abertura,PER,VAZAO,PROB
172,172,173,1,5,704.0,1.0
173,173,174,1,6,664.0,1.0
174,174,175,1,7,704.0,1.0
175,175,176,1,8,243.0,1.0
176,176,177,1,9,472.0,1.0
177,177,178,1,10,355.0,1.0
178,178,179,1,11,796.0,1.0
179,179,180,1,12,295.0,1.0
180,180,181,1,13,1196.0,1.0
181,1,182,16,2,1003.0,0.02
182,182,183,1,3,2902.0,1.0
183,183,184,1,4,2057.0,1.0
184,184,185,1,5,1643.0,1.0
185,185,186,1,6,769.0,1.0
186,186,187,1,7,559.0,1.0
187,187,188,1,8,638.0,1.0
188,188,189,1,9,384.0,1.0
189,189,190,1,10,401.0,1.0
190,190,191,1,11,210.0,1.0
191,191,192,1,12,636.0,1.0
192,192,193,1,13,1648.0,1.0
193,1,194,17,2,1811.0,0.02
194,194,195,1,3,1248.0,1.0
195,195,196,1,4,1193.0,1.0
196,196,197,1,5,868.0,1.0
197,197,198,1,6,769.0,1.0
198,198,199,1,7,727.0,1.0
199,199,200,1,8,587.0,1.0
200,200,201,1,9,271.0,1.0
201,201,202,1,10,436.0,1.0
202,202,203,1,11,1822.0,1.0
203,203,204,1,12,1188.0,1.0
204,204,205,1,13,593.0,1.0
205,1,206,18,2,896.0,0.02
206,206,207,1,3,1535.0,1.0
207,207,208,1,4,2434.0,1.0
208,208,209,1,5,357.0,1.0
209,209,210,1,6,770.0,1.0
210,210,211,1,7,753.0,1.0
211,211,212,1,8,362.0,1.0
212,212,213,1,9,388.0,1.0
213,213,214,1,10,143.0,1.0
214,214,215,1,11,666.0,1.0
215,215,216,1,12,946.0,1.0
216,216,217,1,13,661.0,1.0
217,1,218,19,2,1503.0,0.02
218,218,219,1,3,726.0,1.0
219,219,220,1,4,1916.0,1.0
220,220,221,1,5,494.0,1.0
221,221,222,1,6,741.0,1.0
222,222,223,1,7,661.0,1.0
223,223,224,1,8,435.0,1.0
224,224,225,1,9,465.0,1.0
225,225,226,1,10,307.0,1.0
226,226,227,1,11,443.0,1.0
227,227,228,1,12,590.0,1.0
228,228,229,1,13,1127.0,1.0
229,1,230,20,2,1191.0,0.02
230,230,231,1,3,1817.0,1.0
231,231,232,1,4,839.0,1.0
232,232,233,1,5,1133.0,1.0
233,233,234,1,6,880.0,1.0
234,234,235,1,7,628.0,1.0
235,235,236,1,8,565.0,1.0
236,236,237,1,9,744.0,1.0
237,237,238,1,10,705.0,1.0
238,238,239,1,11,398.0,1.0
239,239,240,1,12,1455.0,1.0
240,240,241,1,13,1356.0,1.0
241,1,242,21,2,1605.0,0.02
242,242,243,1,3,1824.0,1.0
243,243,244,1,4,1072.0,1.0
244,244,245,1,5,636.0,1.0
245,245,246,1,6,861.0,1.0
246,246,247,1,7,357.0,1.0
247,247,248,1,8,435.0,1.0
248,248,249,1,9,363.0,1.0
249,249,250,1,10,488.0,1.0
250,250,251,1,11,501.0,1.0
251,251,252,1,12,784.0,1.0
252,252,253,1,13,661.0,1.0
253,1,254,22,2,2875.0,0.02
254,254,255,1,3,1994.0,1.0
255,255,256,1,4,1512.0,1.0
256,256,257,1,5,665.0,1.0
257,257,258,1,6,596.0,1.0
258,258,259,1,7,618.0,1.0
259,259,260,1,8,495.0,1.0
260,260,261,1,9,476.0,1.0
261,261,262,1,10,573.0,1.0
262,262,263,1,11,437.0,1.0
263,263,264,1,12,526.0,1.0
264,264,265,1,13,1165.0,1.0
265,1,266,23,2,1568.0,0.02
266,266,267,1,3,2902.0,1.0
267,267,268,1,4,1421.0,1.0
268,268,269,1,5,999.0,1.0
269,269,270,1,6,698.0,1.0
270,270,271,1,7,356.0,1.0
271,271,272,1,8,497.0,1.0
272,272,273,1,9,347.0,1.0
273,273,274,1,10,195.0,1.0
274,274,275,1,11,382.0,1.0
275,275,276,1,12,526.0,1.0
276,276,277,1,13,1585.0,1.0
277,1,278,24,2,707.0,0.02
278,278,279,1,3,2485.0,1.0
279,279,280,1,4,1327.0,1.0
280,280,281,1,5,1033.0,1.0
281,281,282,1,6,664.0,1.0
282,282,283,1,7,655.0,1.0
283,283,284,1,8,579.0,1.0
284,284,285,1,9,278.0,1.0
285,285,286,1,10,229.0,1.0
286,286,287,1,11,420.0,1.0
287,287,288,1,12,567.0,1.0
288,288,289,1,13,1526.0,1.0
289,1,290,25,2,1811.0,0.02
290,290,291,1,3,2092.0,1.0
291,291,292,1,4,1573.0,1.0
292,292,293,1,5,1040.0,1.0
293,293,294,1,6,509.0,1.0
294,294,295,1,7,618.0,1.0
295,295,296,1,8,426.0,1.0
296,296,297,1,9,386.0,1.0
297,297,298,1,10,390.0,1.0
298,298,299,1,11,470.0,1.0
299,299,300,1,12,606.0,1.0
300,300,301,1,13,1036.0,1.0
301,1,302,26,2,707.0,0.02
302,302,303,1,3,1999.0,1.0
303,303,304,1,4,2057.0,1.0
304,304,305,1,5,1709.0,1.0
305,305,306,1,6,909.0,1.0
306,306,307,1,7,620.0,1.0
307,307,308,1,8,564.0,1.0
308,308,309,1,9,482.0,1.0
309,309,310,1,10,293.0,1.0
310,310,311,1,11,284.0,1.0
311,311,312,1,12,631.0,1.0
312,312,313,1,13,1409.0,1.0
313,1,314,27,2,1775.0,0.02
314,314,315,1,3,1713.0,1.0
315,315,316,1,4,1112.0,1.0
316,316,317,1,5,1343.0,1.0
317,317,318,1,6,952.0,1.0
318,318,319,1,7,804.0,1.0
319,319,320,1,8,467.0,1.0
320,320,321,1,9,200.0,1.0
321,321,322,1,10,351.0,1.0
322,322,323,1,11,501.0,1.0
323,323,324,1,12,513.0,1.0
324,324,325,1,13,1094.0,1.0
325,1,326,28,2,3201.0,0.02
326,326,327,1,3,3125.0,1.0
327,327,328,1,4,1121.0,1.0
328,328,329,1,5,1915.0,1.0
329,329,330,1,6,761.0,1.0
330,330,331,1,7,458.0,1.0
331,331,332,1,8,419.0,1.0
332,332,333,1,9,380.0,1.0
333,333,334,1,10,620.0,1.0
334,334,335,1,11,459.0,1.0
335,335,336,1,12,764.0,1.0
336,336,337,1,13,780.0,1.0
337,1,338,29,2,1330.0,0.02
338,338,339,1,3,1540.0,1.0
339,339,340,1,4,973.0,1.0
340,340,341,1,5,874.0,1.0
341,341,342,1,6,417.0,1.0
342,342,343,1,7,703.0,1.0
343,343,344,1,8,607.0,1.0
344,344,345,1,9,308.0,1.0
345,345,346,1,10,418.0,1.0
346,346,347,1,11,299.0,1.0
347,347,348,1,12,658.0,1.0
348,348,349,1,13,1647.0,1.0
349,1,350,30,2,1191.0,0.02
350,350,351,1,3,637.0,1.0
351,351,352,1,4,1812.0,1.0
352,352,353,1,5,806.0,1.0
353,353,354,1,6,852.0,1.0
354,354,355,1,7,637.0,1.0
355,355,356,1,8,674.0,1.0
356,356,357,1,9,425.0,1.0
357,357,358,1,10,620.0,1.0
358,358,359,1,11,566.0,1.0
359,359,360,1,12,824.0,1.0
360,360,361,1,13,1302.0,1.0
361,1,362,31,2,1214.0,0.02
362,362,363,1,3,2210.0,1.0
363,363,364,1,4,1421.0,1.0
364,364,365,1,5,996.0,1.0
365,365,366,1,6,915.0,1.0
366,366,367,1,7,553.0,1.0
367,367,368,1,8,495.0,1.0
368,368,369,1,9,360.0,1.0
369,369,370,1,10,298.0,1.0
370,370,371,1,11,385.0,1.0
371,371,372,1,12,512.0,1.0
