,NO_PAI,NO,Abertura,PER,VAZAO,PROB
0,0,1,1,1,130.0,1.0
1,1,2,1,2,128.0,0.3333333333333333
2,2,3,1,3,96.0,0.3333333333333333
3,3,4,1,4,75.0,0.3333333333333333
4,4,5,1,5,149.0,0.3333333333333333
5,5,6,1,6,107.0,0.3333333333333333
6,5,7,2,6,106.0,0.3333333333333333
7,5,8,3,6,107.0,0.3333333333333333
8,4,9,2,5,156.0,0.3333333333333333
9,9,10,1,6,66.0,0.3333333333333333
10,9,11,2,6,113.0,0.3333333333333333
11,9,12,3,6,96.0,0.3333333333333333
12,4,13,3,5,149.0,0.3333333333333333
13,13,14,1,6,93.0,0.3333333333333333
14,13,15,2,6,115.0,0.3333333333333333
15,13,16,3,6,106.0,0.3333333333333333
16,3,17,2,4,275.0,0.3333333333333333
17,17,18,1,5,128.0,0.3333333333333333
18,18,19,1,6,44.0,0.3333333333333333
19,18,20,2,6,118.0,0.3333333333333333
20,18,21,3,6,81.0,0.3333333333333333
21,17,22,2,5,141.0,0.3333333333333333
22,22,23,1,6,60.0,0.3333333333333333
23,22,24,2,6,109.0,0.3333333333333333
24,22,25,3,6,88.0,0.3333333333333333
25,17,26,3,5,166.0,0.3333333333333333
26,26,27,1,6,44.0,0.3333333333333333
27,26,28,2,6,78.0,0.3333333333333333
28,26,29,3,6,88.0,0.3333333333333333
29,3,30,3,4,197.0,0.3333333333333333
30,30,31,1,5,160.0,0.3333333333333333
31,31,32,1,6,82.0,0.3333333333333333
32,31,33,2,6,128.0,0.3333333333333333
33,31,34,3,6,85.0,0.3333333333333333
34,30,35,2,5,149.0,0.3333333333333333
35,35,36,1,6,76.0,0.3333333333333333
36,35,37,2,6,106.0,0.3333333333333333
37,35,38,3,6,128.0,0.3333333333333333
38,30,39,3,5,128.0,0.3333333333333333
39,39,40,1,6,332.0,0.3333333333333333
40,39,41,2,6,88.0,0.3333333333333333
41,39,42,3,6,65.0,0.3333333333333333
42,2,43,2,3,278.0,0.3333333333333333
43,43,44,1,4,238.0,0.3333333333333333
44,44,45,1,5,106.0,0.3333333333333333
45,45,46,1,6,98.0,0.3333333333333333
46,45,47,2,6,44.0,0.3333333333333333
47,45,48,3,6,118.0,0.3333333333333333
48,44,49,2,5,97.0,0.3333333333333333
49,49,50,1,6,113.0,0.3333333333333333
50,49,51,2,6,81.0,0.3333333333333333
51,49,52,3,6,84.0,0.3333333333333333
52,44,53,3,5,160.0,0.3333333333333333
53,53,54,1,6,82.0,0.3333333333333333
54,53,55,2,6,122.0,0.3333333333333333
55,53,56,3,6,40.0,0.3333333333333333
56,43,57,2,4,356.0,0.3333333333333333
57,57,58,1,5,76.0,0.3333333333333333
58,58,59,1,6,105.0,0.3333333333333333
59,58,60,2,6,137.0,0.3333333333333333
60,58,61,3,6,121.0,0.3333333333333333
61,57,62,2,5,141.0,0.3333333333333333
62,62,63,1,6,102.0,0.3333333333333333
63,62,64,2,6,85.0,0.3333333333333333
64,62,65,3,6,102.0,0.3333333333333333
65,57,66,3,5,149.0,0.3333333333333333
66,66,67,1,6,108.0,0.3333333333333333
67,66,68,2,6,137.0,0.3333333333333333
68,66,69,3,6,73.0,0.3333333333333333
69,43,70,3,4,230.0,0.3333333333333333
70,70,71,1,5,97.0,0.3333333333333333
71,71,72,1,6,68.0,0.3333333333333333
72,71,73,2,6,109.0,0.3333333333333333
73,71,74,3,6,82.0,0.3333333333333333
74,70,75,2,5,150.0,0.3333333333333333
75,75,76,1,6,79.0,0.3333333333333333
76,75,77,2,6,115.0,0.3333333333333333
77,75,78,3,6,81.0,0.3333333333333333
78,70,79,3,5,172.0,0.3333333333333333
79,79,80,1,6,90.0,0.3333333333333333
80,79,81,2,6,118.0,0.3333333333333333
81,79,82,3,6,108.0,0.3333333333333333
82,2,83,3,3,145.0,0.3333333333333333
83,83,84,1,4,194.0,0.3333333333333333
84,84,85,1,5,156.0,0.3333333333333333
85,85,86,1,6,115.0,0.3333333333333333
86,85,87,2,6,76.0,0.3333333333333333
87,85,88,3,6,107.0,0.3333333333333333
88,84,89,2,5,57.0,0.3333333333333333
89,89,90,1,6,102.0,0.3333333333333333
90,89,91,2,6,100.0,0.3333333333333333
91,89,92,3,6,79.0,0.3333333333333333
92,84,93,3,5,128.0,0.3333333333333333
93,93,94,1,6,62.0,0.3333333333333333
94,93,95,2,6,119.0,0.3333333333333333
95,93,96,3,6,86.0,0.3333333333333333
96,83,97,2,4,185.0,0.3333333333333333
97,97,98,1,5,128.0,0.3333333333333333
98,98,99,1,6,81.0,0.3333333333333333
99,98,100,2,6,117.0,0.3333333333333333
100,98,101,3,6,96.0,0.3333333333333333
101,97,102,2,5,106.0,0.3333333333333333
102,102,103,1,6,97.0,0.3333333333333333
103,102,104,2,6,119.0,0.3333333333333333
104,102,105,3,6,59.0,0.3333333333333333
105,97,106,3,5,149.0,0.3333333333333333
106,106,107,1,6,121.0,0.3333333333333333
107,106,108,2,6,73.0,0.3333333333333333
108,106,109,3,6,97.0,0.3333333333333333
109,83,110,3,4,232.0,0.3333333333333333
110,110,111,1,5,94.0,0.3333333333333333
111,111,112,1,6,86.0,0.3333333333333333
112,111,113,2,6,78.0,0.3333333333333333
113,111,114,3,6,85.0,0.3333333333333333
114,110,115,2,5,117.0,0.3333333333333333
115,115,116,1,6,97.0,0.3333333333333333
116,115,117,2,6,97.0,0.3333333333333333
117,115,118,3,6,119.0,0.3333333333333333
118,110,119,3,5,123.0,0.3333333333333333
119,119,120,1,6,132.0,0.3333333333333333
120,119,121,2,6,102.0,0.3333333333333333
121,119,122,3,6,93.0,0.3333333333333333
122,1,123,2,2,336.0,0.3333333333333333
123,123,124,1,3,389.0,0.3333333333333333
124,124,125,1,4,145.0,0.3333333333333333
125,125,126,1,5,137.0,0.3333333333333333
126,126,127,1,6,86.0,0.3333333333333333
127,126,128,2,6,121.0,0.3333333333333333
128,126,129,3,6,98.0,0.3333333333333333
129,125,130,2,5,150.0,0.3333333333333333
130,130,131,1,6,62.0,0.3333333333333333
131,130,132,2,6,86.0,0.3333333333333333
132,130,133,3,6,93.0,0.3333333333333333
133,125,134,3,5,172.0,0.3333333333333333
134,134,135,1,6,40.0,0.3333333333333333
135,134,136,2,6,68.0,0.3333333333333333
136,134,137,3,6,96.0,0.3333333333333333
137,124,138,2,4,189.0,0.3333333333333333
138,138,139,1,5,479.0,0.3333333333333333
139,139,140,1,6,96.0,0.3333333333333333
140,139,141,2,6,100.0,0.3333333333333333
141,139,142,3,6,109.0,0.3333333333333333
142,138,143,2,5,119.0,0.3333333333333333
143,143,144,1,6,96.0,0.3333333333333333
144,143,145,2,6,115.0,0.3333333333333333
145,143,146,3,6,85.0,0.3333333333333333
146,138,147,3,5,86.0,0.3333333333333333
147,147,148,1,6,108.0,0.3333333333333333
148,147,149,2,6,85.0,0.3333333333333333
149,147,150,3,6,160.0,0.3333333333333333
150,124,151,3,4,255.0,0.3333333333333333
151,151,152,1,5,141.0,0.3333333333333333
152,152,153,1,6,139.0,0.3333333333333333
153,152,154,2,6,68.0,0.3333333333333333
154,152,155,3,6,108.0,0.3333333333333333
155,151,156,2,5,80.0,0.3333333333333333
156,156,157,1,6,85.0,0.3333333333333333
157,156,158,2,6,121.0,0.3333333333333333
158,156,159,3,6,64.0,0.3333333333333333
159,151,160,3,5,89.0,0.3333333333333333
160,160,161,1,6,76.0,0.3333333333333333
161,160,162,2,6,107.0,0.3333333333333333
162,160,163,3,6,160.0,0.3333333333333333
163,123,164,2,3,140.0,0.3333333333333333
164,164,165,1,4,356.0,0.3333333333333333
165,165,166,1,5,208.0,0.3333333333333333
166,166,167,1,6,100.0,0.3333333333333333
167,166,168,2,6,65.0,0.3333333333333333
168,166,169,3,6,55.0,0.3333333333333333
169,165,170,2,5,79.0,0.3333333333333333
170,170,171,1,6,121.0,0.3333333333333333
171,170,172,2,6,115.0,0.3333333333333333
172,170,173,3,6,106.0,0.3333333333333333
173,165,174,3,5,139.0,0.3333333333333333
174,174,175,1,6,98.0,0.3333333333333333
175,174,176,2,6,90.0,0.3333333333333333
176,174,177,3,6,107.0,0.3333333333333333
177,164,178,2,4,149.0,0.3333333333333333
178,178,179,1,5,107.0,0.3333333333333333
179,179,180,1,6,119.0,0.3333333333333333
180,179,181,2,6,65.0,0.3333333333333333
181,179,182,3,6,85.0,0.3333333333333333
182,178,183,2,5,119.0,0.3333333333333333
