,Data,vazao,periodo
0,1931-01-01,1476,1
1,1931-02-01,2964,2
2,1931-03-01,2167,3
3,1931-04-01,1585,4
4,1931-05-01,1254,5
5,1931-06-01,785,6
6,1931-07-01,607,7
7,1931-08-01,469,8
8,1931-09-01,538,9
9,1931-10-01,662,10
10,1931-11-01,667,11
11,1931-12-01,1127,12
12,1932-01-01,1908,1
13,1932-02-01,1898,2
14,1932-03-01,1534,3
15,1932-04-01,868,4
16,1932-05-01,673,5
17,1932-06-01,632,6
18,1932-07-01,473,7
19,1932-08-01,393,8
20,1932-09-01,388,9
21,1932-10-01,521,10
22,1932-11-01,573,11
23,1932-12-01,1474,12
24,1933-01-01,1330,1
25,1933-02-01,726,2
26,1933-03-01,696,3
27,1933-04-01,610,4
28,1933-05-01,441,5
29,1933-06-01,356,6
30,1933-07-01,329,7
31,1933-08-01,325,8
32,1933-09-01,295,9
33,1933-10-01,411,10
34,1933-11-01,295,11
35,1933-12-01,692,12
36,1934-01-01,1210,1
37,1934-02-01,699,2
38,1934-03-01,752,3
39,1934-04-01,480,4
40,1934-05-01,333,5
41,1934-06-01,276,6
42,1934-07-01,240,7
43,1934-08-01,204,8
44,1934-09-01,247,9
45,1934-10-01,272,10
46,1934-11-01,320,11
47,1934-12-01,1285,12
48,1935-01-01,1846,1
49,1935-02-01,2584,2
50,1935-03-01,1547,3
51,1935-04-01,1334,4
52,1935-05-01,909,5
53,1935-06-01,674,6
54,1935-07-01,554,7
55,1935-08-01,468,8
56,1935-09-01,436,9
57,1935-10-01,619,10
58,1935-11-01,527,11
59,1935-12-01,661,12
60,1936-01-01,594,1
61,1936-02-01,662,2
62,1936-03-01,1812,3
63,1936-04-01,942,4
64,1936-05-01,626,5
65,1936-06-01,436,6
66,1936-07-01,365,7
67,1936-08-01,352,8
68,1936-09-01,445,9
69,1936-10-01,351,10
70,1936-11-01,601,11
71,1936-12-01,1302,12
72,1937-01-01,2600,1
73,1937-02-01,1589,2
74,1937-03-01,1112,3
75,1937-04-01,832,4
76,1937-05-01,836,5
77,1937-06-01,620,6
78,1937-07-01,456,7
79,1937-08-01,364,8
80,1937-09-01,307,9
81,1937-10-01,819,10
82,1937-11-01,997,11
83,1937-12-01,2343,12
84,1938-01-01,1899,1
85,1938-02-01,1646,2
86,1938-03-01,1445,3
87,1938-04-01,952,4
88,1938-05-01,850,5
89,1938-06-01,637,6
90,1938-07-01,508,7
91,1938-08-01,481,8
92,1938-09-01,481,9
93,1938-10-01,793,10
94,1938-11-01,914,11
95,1938-12-01,1647,12
96,1939-01-01,2089,1
97,1939-02-01,1999,2
98,1939-03-01,1063,3
99,1939-04-01,957,4
100,1939-05-01,728,5
101,1939-06-01,559,6
102,1939-07-01,483,7
103,1939-08-01,398,8
104,1939-09-01,351,9
105,1939-10-01,398,10
106,1939-11-01,606,11
107,1939-12-01,1356,12
108,1940-01-01,2018,1
109,1940-02-01,2425,2
110,1940-03-01,2077,3
111,1940-04-01,1144,4
112,1940-05-01,824,5
113,1940-06-01,637,6
114,1940-07-01,513,7
115,1940-08-01,408,8
116,1940-09-01,382,9
