NO,PROBABILIDADE
1,1.0
2,0.02
3,1.0
4,1.0
5,0.02
6,1.0
7,1.0
8,0.02
9,1.0
10,1.0
11,0.02
12,1.0
13,1.0
14,0.02
15,1.0
16,1.0
17,0.02
18,1.0
19,1.0
20,0.02
21,1.0
22,1.0
23,0.02
24,1.0
25,1.0
26,0.02
27,1.0
28,1.0
29,0.02
30,1.0
31,1.0
32,0.02
33,1.0
34,1.0
35,0.02
36,1.0
37,1.0
38,0.02
39,1.0
40,1.0
41,0.02
42,1.0
43,1.0
44,0.02
45,1.0
46,1.0
47,0.02
48,1.0
49,1.0
50,0.02
51,1.0
52,1.0
53,0.02
54,1.0
55,1.0
56,0.02
57,1.0
58,1.0
59,0.02
60,1.0
61,1.0
62,0.02
63,1.0
64,1.0
65,0.02
66,1.0
67,1.0
68,0.02
69,1.0
70,1.0
71,0.02
72,1.0
73,1.0
74,0.02
75,1.0
76,1.0
77,0.02
78,1.0
79,1.0
80,0.02
81,1.0
82,1.0
83,0.02
84,1.0
85,1.0
86,0.02
87,1.0
88,1.0
89,0.02
90,1.0
91,1.0
92,0.02
93,1.0
94,1.0
95,0.02
96,1.0
97,1.0
98,0.02
99,1.0
100,1.0
101,0.02
102,1.0
103,1.0
104,0.02
105,1.0
106,1.0
107,0.02
108,1.0
109,1.0
110,0.02
111,1.0
112,1.0
113,0.02
114,1.0
115,1.0
116,0.02
117,1.0
118,1.0
119,0.02
120,1.0
121,1.0
122,0.02
123,1.0
124,1.0
125,0.02
126,1.0
127,1.0
128,0.02
129,1.0
130,1.0
131,0.02
132,1.0
133,1.0
134,0.02
135,1.0
136,1.0
137,0.02
138,1.0
139,1.0
140,0.02
141,1.0
142,1.0
143,0.02
144,1.0
145,1.0
146,0.02
147,1.0
148,1.0
149,0.02
150,1.0
151,1.0
