NOME_UHE,NO,VAZAO
6,1,0.0
6,2,706.0
6,3,704.0
6,4,781.0
6,5,2109.0
6,6,468.0
6,7,444.0
6,8,1214.0
6,9,1157.0
6,10,957.0
6,11,2109.0
6,12,1588.0
6,13,888.0
6,14,1214.0
6,15,2381.0
6,16,888.0
6,17,2109.0
6,18,1588.0
6,19,957.0
6,20,2109.0
6,21,1653.0
6,22,1110.0
6,23,2109.0
6,24,1653.0
6,25,726.0
