"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"Brunner_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"11";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;275;5825,37;5811,924;1,96;2564,408;5488,473;6162,267;5382,612;6268,128;336,897;442,758;5515,627;5419,721;5322,5;5155,075;10509838,241;9624543,476;8169980,591;6891650,396;6200,164;6307,859;6396,175;6674,975;19674207,735;21329444,117;23035756,811;25698353,304;3843,566;3840,64;3619,192;4097,824;562,789;438,998;3552,48;4182,589;584,125;421,385;2,707;2,707;10,051;10,001;48,15;0,012;1;0,964;0,193;0,56;0,063;0,722;0,53;0,068
"12";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;169;1031,748;1024,058;1,96;2564,408;975,371;1088,125;957,656;1105,84;56,377;74,092;975,116;952,016;935,195;903,44;369684,642;355776,858;342660,771;313842,897;1086,768;1107,101;1116;1137,807;457015,588;467916,578;474116,302;499211,415;643,193;639,335;605,645;685,741;562,789;438,998;594,482;699,926;584,125;421,385;0,853;0,867;-0,621;-0,602;11,002;0,016;1;0,877;0,672;0,931;0,15;0,81;0,701;0,156
"13";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;156;874,092;872,004;1,96;2564,408;804,693;943,491;782,887;965,297;69,399;91,205;801,235;782,015;766,228;736,036;510608,317;488322,803;471372,58;407135,296;944,043;961,889;988,454;1025,003;732804,418;771203,706;820388,463;862154,6;791,749;797,95;745,53;844,125;562,789;438,998;731,788;861,586;584,125;421,385;1,546;1,531;2,108;2,006;15,264;0,022;1;0,973;0,179;0,565;0,295;0,621;0,672;0,302
"14";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;237;400,57;396,874;1,96;2564,408;372,019;429,121;363,048;438,092;28,551;37,522;373,654;364,341;349,488;341,276;87341,305;79753,44;77642,277;71069,185;427,891;439,183;448,649;464,204;124917,323;131252,744;142980,567;156111,84;325,728;329,902;306,714;347,276;562,789;438,998;301,06;354,459;584,125;421,385;1,56;1,571;2,133;2,09;10,42;0,02;1;0,885;0,594;0,532;0,284;0,221;0,209;0,286
"15";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;32;75,192;74,816;1,96;2564,408;71,715;78,669;70,622;79,762;3,477;4,57;71,935;70,853;69,24;67,644;1385,596;1325,787;1284,032;1218,888;79;80,144;80,836;83,347;1782,065;1847,33;1893,095;1993,2;39,668;39,595;37,352;42,292;562,789;438,998;36,664;43,167;584,125;421,385;0,777;0,752;-0,056;-0,185;0,892;0,012;1;0,903;0,97;0,809;0,257;0,189;0,145;0,262
"16";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;61;454,426;445,502;1,96;2564,408;401,024;507,828;384,244;524,608;53,402;70,182;406,997;392,553;367,462;349,869;229032,682;186247,207;149064,79;108658,286;513,1;533,446;541,921;575,988;562798,289;632973,064;651387,191;747924,212;609,25;594,2;573,684;649,553;562,789;438,998;563,11;662,989;584,125;421,385;4,34;4,28;23,42;22,674;12,128;0,012;1;0,848;0,026;0,221;0,3;0,306;0,479;0,296
"17";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;49;123,072;120,478;1,96;2564,408;109,774;136,37;105,596;140,548;13,298;17,476;110,513;106,998;101,338;97,011;13330,95;10738,155;8677,662;7083,058;138,024;141,975;144,971;152,181;35146,942;39895,852;44135,328;53363,416;151,709;150,891;142,853;161,745;562,789;438,998;140,22;165,091;584,125;421,385;4,478;4,538;25,781;26,248;4,13;0,02;1;0,825;0,083;0,474;0,52;0,146;0,601;0,517
"18";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;24;551,38;552,052;1,96;2564,408;490,682;612,078;471,609;631,151;60,698;79,771;491,946;469,368;453,043;432,422;325000,717;280962,627;259586,246;230550,72;612,995;629,84;667,838;717,134;647013,242;699122,943;815681,148;927810,568;692,491;706,73;652,066;738,301;562,789;438,998;640,047;753,573;584,125;421,385;3,102;3,14;11,998;12,188;12,8;0,018;1;0,99;0,052;0,672;0,187;0,018;0,124;0,193
"19";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;6;773,326;764,904;1,96;2564,408;724,568;822,084;709,247;837,405;48,758;64,079;723,813;710,919;688,484;668,584;262540,403;250348,236;230570,866;214024,84;822,499;836,657;848,832;881,459;353937,974;371504,005;382443,188;412505,357;556,266;555,792;523,793;593,064;562,789;438,998;514,138;605,332;584,125;421,385;1,128;1,122;0,963;0,978;13,79;0,034;0,998;0,845;0,345;0,609;0,285;0,371;0,314;0,285
"20";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;34;489,47;486,28;1,96;2564,408;470,928;508,012;465,101;513,839;18,542;24,369;472,33;466,802;457,457;449,654;39682,712;37790,216;36141,754;33684,349;508,654;516,072;518,725;526,756;50185,08;51727,105;53864,562;57153,693;211,545;211,81;199,196;225,539;562,789;438,998;195,524;230,204;584,125;421,385;0,842;0,836;-0,043;-0,036;4,954;0,026;1;0,846;0,994;0,968;0,239;0,554;0,638;0,243
"21";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;266;2671,656;2660,268;1,96;2564,408;2547,071;2796,241;2507,924;2835,388;124,585;163,732;2551,512;2517,265;2474,637;2405,313;1531368,733;1415606,161;1302475,335;1089787,986;2803,321;2852,478;2866,469;2933,288;2565192,636;2750718,478;2966640,39;3244318,611;1421,353;1416,818;1338,379;1515,378;562,789;438,998;1313,709;1546,724;584,125;421,385;2,316;2,345;6,748;6,901;26,828;0,016;1;0,918;0,006;0,113;0,528;0,728;0,38;0,52
"22";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;31;487,67;486,718;1,96;2564,408;435,622;539,718;419,267;556,073;52,048;68,403;435,537;422,606;407,339;389,942;243745,334;214491,618;188350,373;149902,448;540,2;555,78;580,232;608,267;470873,779;499035,129;564917,912;644923,38;593,8;595,901;559,136;633,081;562,789;438,998;548,829;646,176;584,125;421,385;3,182;3,162;12,384;12,176;8,412;0,012;1;0,984;0,045;0,677;0,147;0,122;0,933;0,153
"23";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;245;478,202;478,154;1,96;2564,408;466,631;489,773;462,995;493,409;11,571;15,207;467,512;463,349;458,987;453,575;14992,999;14420,308;13625,792;12328,478;489,752;494,458;497,156;502,062;20098,317;20849,915;20883,172;22638,536;132,008;130,32;124,302;140,741;562,789;438,998;122,011;143,652;584,125;421,385;0,668;0,61;0,737;0,532;2,904;0,01;1;0,996;0,865;0,657;0,31;0,23;0,986;0,315
"24";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;47;199,884;194,844;1,96;2564,408;185,863;213,905;181,458;218,31;14,021;18,426;187,277;184,114;175,007;169,659;17196,177;15577,96;13456,265;12331,919;214,752;218,517;219,183;226,734;37363,39;40305,806;42129,027;49489,652;159,957;154,162;150,619;170,538;562,789;438,998;147,843;174,066;584,125;421,385;3,19;3,075;17,58;15,789;5,252;0,02;1;0,678;0,41;0,413;0,299;0,98;0,322;0,298
"25";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;8;43,658;43,336;1,96;2564,408;41,133;46,183;40,339;46,977;2,525;3,319;41,284;40,522;39,29;38,316;723,083;694,822;665,377;629,338;46,235;47,328;47,706;48,923;950,126;987,915;1038,443;1113,321;28,811;29,057;27,129;30,717;562,789;438,998;26,629;31,352;584,125;421,385;0,967;0,964;0,335;0,318;0,746;0,016;1;0,886;0,602;0,564;0,5;0,918;0,778;0,505
"26";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;17;436,778;432,292;1,96;2564,408;415,601;457,955;408,947;464,609;21,177;27,831;415,689;411,609;399,208;388,398;48357,556;45971,59;44057,959;40696,579;458,524;465,006;470,2;478,382;69097,121;73014,921;76724,813;83066,538;241,599;240,997;227,496;257,581;562,789;438,998;223,302;262,91;584,125;421,385;1,368;1,346;2,206;2,091;6,974;0,024;1;0,811;0,213;0,539;0,288;0,369;0,25;0,291
"27";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;242;42,908;42,91;1,96;2564,408;39,852;45,964;38,892;46,924;3,056;4,016;39,882;39,273;38,256;37,231;813,607;687,929;637,757;546,379;45,997;46,874;48,393;50,245;1725,705;1892,683;2054,447;2443,504;34,866;34,304;32,831;37,172;562,789;438,998;32,225;37,941;584,125;421,385;3,348;3,286;16,784;16,253;0,902;0,012;1;0,999;0,259;0,772;0,408;0,213;0,176;0,414
"28";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;25;423,626;419,488;1,96;2564,408;396,909;450,343;388,514;458,738;26,717;35,112;397;392,053;372,282;361,278;73761,167;68595,628;65171,4;58250,658;448,504;459,109;466,787;477,362;111821,934;119581,819;126090,133;137947,605;304,802;308,091;287,009;324,965;562,789;438,998;281,718;331,687;584,125;421,385;1,716;1,675;3,391;2,822;9,594;0,022;1;0,862;0,464;0,786;0,402;0,318;0,321;0,407
"29";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;12;83,834;83,296;1,96;2564,408;78,988;88,68;77,466;90,202;4,846;6,368;78,978;77,12;75,329;73,726;2658,605;2547,771;2423,313;2245,482;88,514;90,213;91,547;92,771;3467,301;3632,025;3806,916;4046,159;55,285;55,755;52,057;58,942;562,789;438,998;51,098;60,161;584,125;421,385;0,968;0,964;0,333;0,316;1,39;0,02;1;0,901;0,607;0,567;0,486;0,747;0,381;0,491
"30";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;246;896,604;894,79;1,96;2564,408;870,572;922,636;862,392;930,816;26,032;34,212;869,361;862,146;852,407;841,286;75565,517;71725,393;66575,159;63710,754;923,501;931,433;936,442;950,475;101195,942;105461,401;110797,163;116176,76;296,994;295,334;279,657;316,641;562,789;438,998;274,502;323,19;584,125;421,385;0,805;0,754;1,083;0,963;8,106;0,02;1;0,937;0,797;0,893;0,359;0,857;0,786;0,361
"31";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;240;108,702;108,688;1,96;2564,408;100,954;116,45;98,52;118,884;7,748;10,182;101,084;98,539;97,829;94,915;5253,239;4617,382;3949,984;3502,687;116,493;118,457;123,557;126,73;10851,121;11899,055;13109,784;15915,975;88,393;86,919;83,233;94,241;562,789;438,998;81,699;96,19;584,125;421,385;3,351;3,291;16,817;16,297;2,31;0,012;1;0,998;0,263;0,779;0,413;0,738;0,068;0,418
"32";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;63;147,816;147,506;1,96;2564,408;139,541;156,091;136,941;158,691;8,275;10,875;139,721;137,753;133,834;131,703;6419,792;5734,703;5070,777;3961,19;156,397;158,709;160,865;165,239;11573,578;12705,368;13524,302;15636,873;94,409;92,996;88,898;100,654;562,789;438,998;87,259;102,736;584,125;421,385;2,801;2,785;9,497;9,36;1,622;0,018;1;0,966;0,079;0,262;0,456;0,846;0,407;0,452
"33";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;50;66,216;65,314;1,96;2564,408;62,555;69,877;61,405;71,027;3,661;4,811;62,639;62,017;59,787;58,544;1220,409;1073,332;877,752;727,771;69,836;71,253;71,323;72,807;2340,085;2473,743;2786,601;3220,669;41,766;41,135;39,328;44,529;562,789;438,998;38,603;45,45;584,125;421,385;3,051;3,005;13,556;12,835;1,326;0,018;1;0,779;0,209;0,508;0,396;0,115;0,375;0,396
"34";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;33;1146,166;1140,748;1,96;2564,408;1080,502;1211,83;1059,869;1232,463;65,664;86,297;1085,631;1064,698;1037,588;1006,378;466609,361;446397,473;422353,975;383573,541;1217,006;1239,576;1249,999;1279,612;666618,488;695805,277;730922,502;804579,547;749,143;743,973;705,41;798,7;562,789;438,998;692,408;815,221;584,125;421,385;1,422;1,356;2,366;1,992;15,662;0,01;1;0,925;0,573;0,736;0,175;0,144;0,283;0,178
"35";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;62;63,052;62,912;1,96;2564,408;59,521;66,583;58,412;67,692;3,531;4,64;59,605;58,789;57,44;55,93;1161,971;1076,965;924,531;787,379;66,617;67,986;69,125;71,564;2100,351;2287,747;2426,329;2781,897;40,279;39,689;37,928;42,944;562,789;438,998;37,229;43,832;584,125;421,385;2,798;2,782;9,476;9,35;0,72;0,016;1;0,964;0,079;0,265;0,458;0,085;0,025;0,454
"36";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;243;31,268;31,04;1,96;2564,408;30,083;32,453;29,711;32,825;1,185;1,557;30,15;29,758;29,086;28,572;160,643;155,692;145,02;136,902;32,468;32,988;32,925;33,444;203,291;213,677;218,738;230,689;13,516;13,517;12,727;14,41;562,789;438,998;12,492;14,708;584,125;421,385;0,839;0,835;-0,055;-0,051;0,328;0,01;1;0,828;0,999;0,967;0,249;0,712;0,551;0,254
"37";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;11;115,476;114,714;1,96;2564,408;108,802;122,15;106,704;124,248;6,674;8,772;108,873;107,469;104,089;100,692;4986,298;4804,668;4675,027;4314,85;122,385;124,804;125,908;129,012;6610,022;6803,875;7239,878;7756,434;76,147;76,789;71,702;81,184;562,789;438,998;70,38;82,864;584,125;421,385;0,971;0,968;0,341;0,327;1,946;0,02;1;0,898;0,603;0,568;0,49;0,754;0,629;0,495
"38";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;18;356,712;355,244;1,96;2564,408;337,406;376,018;331,34;382,084;19,306;25,372;338,103;333,126;326,205;312,347;35599,298;32245,208;27870,303;24762,82;375,495;379,907;388,043;403,88;63363,709;67825,499;74837,274;86430,462;220,252;220,095;207,395;234,822;562,789;438,998;203,572;239,68;584,125;421,385;2,416;2,491;8,586;9,312;3,74;0,01;1;0,932;0,063;0,624;0,216;0,187;0,591;0,223
"39";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;215;202,372;199,72;1,96;2564,408;176,814;227,93;168,783;235,961;25,558;33,589;178,208;169,505;159,679;150,048;56575,333;49528,595;43207,757;34492,936;230,866;237,527;245,766;262,899;124707,924;139732,575;150499,636;184330,495;291,583;292,533;274,561;310,871;562,789;438,998;269,5;317,302;584,125;421,385;3,562;3,582;17,655;17,622;6,896;0,022;1;0,907;0,003;0,467;0,573;0,761;0,412;0,569
"40";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;94;97,312;96,966;1,96;2564,408;91,795;102,829;90,062;104,562;5,517;7,25;91,963;90,295;88,399;87,059;2734,18;2414,741;2290,174;1948,923;103,06;104,533;106,308;110,22;5471,175;6088,539;6769,9;8022,231;62,936;63,7;59,262;67,1;562,789;438,998;58,17;68,488;584,125;421,385;3,022;3,108;14,295;14,727;1,926;0,026;1;0,944;0,167;0,923;0,631;0,416;0,558;0,633
"41";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;74;491,69;481,058;1,96;2564,408;451,544;531,836;438,929;544,451;40,146;52,761;454,482;442,716;422,381;403,378;157309,107;146611,635;128471,277;115854,013;536,034;550,51;552,411;590,643;276613,475;297602,078;323697,083;394708,202;458,018;461,97;431,28;488,316;562,789;438,998;423,331;498,417;584,125;421,385;2,496;2,593;9,335;9,592;17,36;0,028;1;0,766;0,01;0,365;0,912;0,428;0,319;0,911
"42";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;115;24,094;23,15;1,96;2564,408;22,42;25,768;21,894;26,294;1,674;2,2;22,602;22,092;20,899;20,217;256,871;226,306;177,126;155,923;25,756;26,44;25,795;26,6;496,396;544,166;420,593;494,323;19,099;16,643;17,984;20,363;562,789;438,998;17,653;20,784;584,125;421,385;2,969;2,39;13,104;7,749;1;0,024;1;0,487;0,388;0,974;0,837;0,602;0,694;0,836
"43";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;92;101,658;98,028;1,96;2564,408;87,962;115,354;83,658;119,658;13,696;18;88,783;85,171;80,071;75,994;10192,334;8526,317;6818,356;5891,723;116,442;120,596;125,473;137,147;47062,001;56300,719;63011,671;80791,082;156,254;152,592;147,133;166,591;562,789;438,998;144,42;170,037;584,125;421,385;6,936;7,308;73,014;80,41;4,494;0,028;1;0,761;0;0,684;0,485;0,763;0,762;0,484
"44";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;217;58,446;57,134;1,96;2564,408;51,274;65,618;49,021;67,871;7,172;9,425;51,549;50,356;47,262;44,075;4467,442;4031,966;3630,464;3060,221;65,87;68,018;69,004;74,167;9164,587;9849,03;10098,923;11381;81,821;79,983;77,045;87,234;562,789;438,998;75,625;89,038;584,125;421,385;3,342;3,115;14,685;12;3,448;0,018;1;0,834;0,286;0,905;0,527;0,389;0,493;0,526
"45";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;93;24,4;23,992;1,96;2564,408;21,22;27,58;20,221;28,579;3,18;4,179;21,526;20,654;19,695;18,882;502,149;394,675;366,18;281,48;27,756;28,833;29,662;31,265;2380,489;2882,373;3079,962;3903,06;36,276;36,351;34,158;38,676;562,789;438,998;33,529;39,476;584,125;421,385;6,768;6,773;61,124;60,905;0,868;0,016;1;0,885;0;0,606;0,53;0,213;0,997;0,529
"46";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;222;212,236;207,688;1,96;2564,408;191,568;232,904;185,073;239,399;20,668;27,163;191,758;187,229;173,076;164,013;42806,955;39941,397;33654,683;30260,403;234,905;243,187;241,699;254,606;70146,648;75326,51;78628,424;94574,345;235,799;235,96;222,034;251,397;562,789;438,998;217,941;256,597;584,125;421,385;2,096;2,309;5,32;6,642;7,884;0,018;1;0,804;0,089;0,613;0,802;0,888;0,186;0,801
"47";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;77;85,3;83,456;1,96;2564,408;76,991;93,609;74,38;96,22;8,309;10,92;77,151;74,055;70,695;68,475;7004,004;6436,76;5811,564;5155,671;93,775;96,71;98,648;102,7;11232,437;12065,73;13390,025;15170,151;94,795;94,838;89,261;101,065;562,789;438,998;87,616;103,156;584,125;421,385;2,095;2,308;5,314;6,632;3,188;0,018;1;0,802;0,09;0,616;0,804;1;0,508;0,803
"48";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";3;250;76;89,224;89,36;1,96;2564,408;82,256;96,192;80,066;98,382;6,968;9,158;82,116;79,388;78,599;75,461;4544,127;4096,333;3841,841;3206,829;96,205;98,246;101,34;106,315;8128,11;8619,474;9146,599;10698,995;79,5;79,259;74,859;84,759;562,789;438,998;73,479;86,512;584,125;421,385;2,568;2,46;8,274;6,924;2,44;0,016;1;0,982;0,273;0,55;0,963;0,693;0,867;0,962
"49";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";2;125;271;1626,074;1612,518;1,96;2564,408;1527,135;1725,013;1496,047;1756,101;98,939;130,027;1530,655;1505,974;1382,021;1354,636;1001312,145;942823,703;701042,313;625746,501;1729,47;1766,379;1856,071;1951,371;1602097,014;1696818,151;1967593,757;2137928,781;1128,762;1115,876;1062,869;1203,432;562,789;438,998;1043,277;1228,325;584,125;421,385;1,919;1,797;4,723;3,816;40,764;0,036;1;0,904;0,072;0,114;0,029;0,383;0,703;0,029
"50";"avaliaArvoresRepresentativo/A_125_2_2";"BKAssimetrico";2;125;285;22832,804;22835,618;1,96;2564,408;22829,381;22836,227;22828,305;22837,303;3,423;4,499;22829,746;22828,729;22827,833;22825,317;1341,049;1286,34;1007,312;919,574;22835,991;22837,384;22844,009;22845,618;1716,374;1779,185;1933,191;2043,351;39,056;37,637;36,776;41,64;562,789;438,998;36,098;42,501;584,125;421,385;0,53;0,569;0,11;0,344;3,602;0,068;0,895;0,46;0,454;0,296;0,408;0,926;0,186;0,425
