NOME_UHE,NO,VAZAO
1,1,94.0
1,2,159.0
1,3,164.0
6,1,396.0
6,2,637.0
6,3,620.0
17,1,264.0
17,2,471.0
17,3,470.0
18,1,237.0
18,2,298.0
18,3,295.0
34,1,338.0
34,2,380.0
34,3,411.0
45,1,5104.0
45,2,7446.0
45,3,7558.0
46,1,5866.0
46,2,7988.0
46,3,8124.0
66,1,8928.0
66,2,11563.0
66,3,11649.0
