iter,est,noUso,usina,Indep,Coef
1,2,47,6,60010.00000000001,-30.0
2,2,47,6,60010.000000000015,-30.0
3,2,47,6,60010.000000000015,-30.0
4,2,47,6,0.0,0.0
5,2,47,6,0.0,0.0
6,2,47,6,0.0,0.0
7,2,47,6,0.0,0.0
8,2,47,6,0.0,0.0
9,2,47,6,0.0,0.0
10,2,47,6,0.0,0.0
1,2,50,6,49990.0,-30.0
2,2,50,6,49990.0,-30.0
3,2,50,6,49990.0,-30.0
4,2,50,6,0.0,0.0
5,2,50,6,0.0,0.0
6,2,50,6,0.0,0.0
7,2,50,6,0.0,0.0
8,2,50,6,0.0,0.0
9,2,50,6,0.0,0.0
10,2,50,6,0.0,0.0
1,2,53,6,66010.0,-30.0
2,2,53,6,66010.0,-30.0
3,2,53,6,66010.0,-30.0
4,2,53,6,0.0,0.0
5,2,53,6,0.0,0.0
6,2,53,6,0.0,0.0
7,2,53,6,0.0,0.0
8,2,53,6,0.0,0.0
9,2,53,6,0.0,0.0
10,2,53,6,0.0,0.0
1,2,56,6,27099.999999999993,-30.0
2,2,56,6,15699.999999999993,-9.999999999999996
3,2,56,6,27099.999999999993,-30.0
4,2,56,6,0.0,0.0
5,2,56,6,0.0,0.0
6,2,56,6,0.0,0.0
7,2,56,6,0.0,0.0
8,2,56,6,0.0,0.0
9,2,56,6,0.0,0.0
10,2,56,6,0.0,0.0
1,2,59,6,17289.999999999993,-30.0
2,2,59,6,12429.999999999989,-9.999999999999996
3,2,59,6,17289.999999999996,-30.0
4,2,59,6,0.0,0.0
5,2,59,6,0.0,0.0
6,2,59,6,0.0,0.0
7,2,59,6,0.0,0.0
8,2,59,6,0.0,0.0
9,2,59,6,0.0,0.0
10,2,59,6,0.0,0.0
1,2,62,6,33789.99999999999,-30.0
2,2,62,6,33789.99999999999,-30.0
3,2,62,6,33789.99999999999,-30.0
4,2,62,6,0.0,0.0
5,2,62,6,0.0,0.0
6,2,62,6,0.0,0.0
7,2,62,6,0.0,0.0
8,2,62,6,0.0,0.0
9,2,62,6,0.0,0.0
10,2,62,6,0.0,0.0
1,2,65,6,57579.99999999999,-30.0
2,2,65,6,57580.0,-30.0
3,2,65,6,57580.0,-30.0
4,2,65,6,0.0,0.0
5,2,65,6,0.0,0.0
6,2,65,6,0.0,0.0
7,2,65,6,0.0,0.0
8,2,65,6,0.0,0.0
9,2,65,6,0.0,0.0
10,2,65,6,0.0,0.0
1,2,68,6,47500.0,-30.0
2,2,68,6,47500.0,-30.0
3,2,68,6,47500.0,-30.0
4,2,68,6,0.0,0.0
5,2,68,6,0.0,0.0
6,2,68,6,0.0,0.0
7,2,68,6,0.0,0.0
8,2,68,6,0.0,0.0
9,2,68,6,0.0,0.0
10,2,68,6,0.0,0.0
1,2,71,6,63310.00000000001,-30.0
2,2,71,6,63310.000000000015,-30.0
3,2,71,6,63310.000000000015,-30.0
4,2,71,6,0.0,0.0
5,2,71,6,0.0,0.0
6,2,71,6,0.0,0.0
7,2,71,6,0.0,0.0
8,2,71,6,0.0,0.0
9,2,71,6,0.0,0.0
10,2,71,6,0.0,0.0
1,2,74,6,72640.0,-30.0
2,2,74,6,72640.0,-30.0
3,2,74,6,72640.0,-30.0
4,2,74,6,0.0,0.0
5,2,74,6,0.0,0.0
6,2,74,6,0.0,0.0
7,2,74,6,0.0,0.0
8,2,74,6,0.0,0.0
9,2,74,6,0.0,0.0
10,2,74,6,0.0,0.0
1,2,77,6,62530.0,-30.0
2,2,77,6,62530.00000000001,-30.0
3,2,77,6,62530.00000000001,-30.0
4,2,77,6,0.0,0.0
5,2,77,6,0.0,0.0
6,2,77,6,0.0,0.0
7,2,77,6,0.0,0.0
8,2,77,6,0.0,0.0
9,2,77,6,0.0,0.0
10,2,77,6,0.0,0.0
1,2,80,6,77500.0,-30.0
2,2,80,6,77500.0,-30.0
3,2,80,6,77500.0,-30.0
4,2,80,6,0.0,0.0
5,2,80,6,0.0,0.0
6,2,80,6,0.0,0.0
7,2,80,6,0.0,0.0
8,2,80,6,0.0,0.0
9,2,80,6,0.0,0.0
10,2,80,6,0.0,0.0
1,3,3,6,3000.0,0.0
2,3,3,6,3000.0,0.0
3,3,3,6,3000.0,0.0
4,3,3,6,0.0,0.0
5,3,3,6,0.0,0.0
6,3,3,6,0.0,0.0
7,3,3,6,0.0,0.0
8,3,3,6,0.0,0.0
9,3,3,6,0.0,0.0
10,3,3,6,0.0,0.0
1,3,6,6,3000.0,0.0
2,3,6,6,3000.0,0.0
3,3,6,6,3000.0,0.0
4,3,6,6,0.0,0.0
5,3,6,6,0.0,0.0
6,3,6,6,0.0,0.0
7,3,6,6,0.0,0.0
8,3,6,6,0.0,0.0
9,3,6,6,0.0,0.0
10,3,6,6,0.0,0.0
1,3,9,6,3000.0,0.0
2,3,9,6,3000.0,0.0
3,3,9,6,3000.0,0.0
4,3,9,6,0.0,0.0
5,3,9,6,0.0,0.0
6,3,9,6,0.0,0.0
7,3,9,6,0.0,0.0
8,3,9,6,0.0,0.0
9,3,9,6,0.0,0.0
10,3,9,6,0.0,0.0
1,3,12,6,16159.999999999998,-30.0
2,3,12,6,8719.999999999995,-9.999999999999998
3,3,12,6,3000.0,0.0
4,3,12,6,0.0,0.0
5,3,12,6,0.0,0.0
6,3,12,6,0.0,0.0
7,3,12,6,0.0,0.0
8,3,12,6,0.0,0.0
9,3,12,6,0.0,0.0
10,3,12,6,0.0,0.0
1,3,15,6,3000.0,0.0
2,3,15,6,3000.0,0.0
3,3,15,6,3000.0,0.0
4,3,15,6,0.0,0.0
5,3,15,6,0.0,0.0
6,3,15,6,0.0,0.0
7,3,15,6,0.0,0.0
8,3,15,6,0.0,0.0
9,3,15,6,0.0,0.0
10,3,15,6,0.0,0.0
1,3,18,6,23360.0,-30.0
2,3,18,6,11119.999999999995,-9.999999999999998
3,3,18,6,11120.0,-9.999999999999998
4,3,18,6,0.0,0.0
5,3,18,6,0.0,0.0
6,3,18,6,0.0,0.0
7,3,18,6,0.0,0.0
8,3,18,6,0.0,0.0
9,3,18,6,0.0,0.0
10,3,18,6,0.0,0.0
1,3,21,6,21290.0,-30.0
2,3,21,6,10429.999999999995,-9.999999999999998
3,3,21,6,21290.0,-30.0
4,3,21,6,0.0,0.0
5,3,21,6,0.0,0.0
6,3,21,6,0.0,0.0
7,3,21,6,0.0,0.0
8,3,21,6,0.0,0.0
9,3,21,6,0.0,0.0
10,3,21,6,0.0,0.0
1,3,24,6,11599.999999999998,-30.0
2,3,24,6,7199.9999999999945,-9.999999999999998
3,3,24,6,7199.9999999999945,-9.999999999999998
4,3,24,6,0.0,0.0
5,3,24,6,0.0,0.0
6,3,24,6,0.0,0.0
7,3,24,6,0.0,0.0
8,3,24,6,0.0,0.0
9,3,24,6,0.0,0.0
10,3,24,6,0.0,0.0
1,3,27,6,28220.0,-30.0
2,3,27,6,12739.999999999993,-9.999999999999998
3,3,27,6,28220.0,-30.0
4,3,27,6,0.0,0.0
5,3,27,6,0.0,0.0
6,3,27,6,0.0,0.0
7,3,27,6,0.0,0.0
8,3,27,6,0.0,0.0
9,3,27,6,0.0,0.0
10,3,27,6,0.0,0.0
1,3,30,6,18770.0,-30.0
2,3,30,6,9589.999999999995,-9.999999999999998
3,3,30,6,18770.0,-30.0
4,3,30,6,0.0,0.0
5,3,30,6,0.0,0.0
6,3,30,6,0.0,0.0
7,3,30,6,0.0,0.0
8,3,30,6,0.0,0.0
9,3,30,6,0.0,0.0
10,3,30,6,0.0,0.0
1,3,33,6,6390.0,-9.999999999999998
2,3,33,6,3000.0,0.0
3,3,33,6,6390.0,-9.999999999999998
4,3,33,6,0.0,0.0
5,3,33,6,0.0,0.0
6,3,33,6,0.0,0.0
7,3,33,6,0.0,0.0
8,3,33,6,0.0,0.0
9,3,33,6,0.0,0.0
10,3,33,6,0.0,0.0
1,3,36,6,25850.0,-30.0
2,3,36,6,11949.999999999993,-9.999999999999998
3,3,36,6,25850.0,-30.0
4,3,36,6,0.0,0.0
5,3,36,6,0.0,0.0
6,3,36,6,0.0,0.0
7,3,36,6,0.0,0.0
8,3,36,6,0.0,0.0
9,3,36,6,0.0,0.0
10,3,36,6,0.0,0.0
1,3,39,6,26570.000000000004,-30.0
2,3,39,6,12189.999999999998,-9.999999999999998
3,3,39,6,26570.0,-30.0
4,3,39,6,0.0,0.0
5,3,39,6,0.0,0.0
6,3,39,6,0.0,0.0
7,3,39,6,0.0,0.0
8,3,39,6,0.0,0.0
9,3,39,6,0.0,0.0
10,3,39,6,0.0,0.0
1,3,42,6,16700.0,-30.0
2,3,42,6,8899.999999999995,-9.999999999999998
3,3,42,6,16700.0,-30.0
4,3,42,6,0.0,0.0
5,3,42,6,0.0,0.0
6,3,42,6,0.0,0.0
7,3,42,6,0.0,0.0
8,3,42,6,0.0,0.0
9,3,42,6,0.0,0.0
10,3,42,6,0.0,0.0
1,3,45,6,33080.0,-30.0
2,3,45,6,14359.999999999998,-9.999999999999998
3,3,45,6,33080.0,-30.0
4,3,45,6,0.0,0.0
5,3,45,6,0.0,0.0
6,3,45,6,0.0,0.0
7,3,45,6,0.0,0.0
8,3,45,6,0.0,0.0
9,3,45,6,0.0,0.0
10,3,45,6,0.0,0.0
1,3,48,6,31130.000000000007,-30.0
2,3,48,6,13709.999999999998,-9.999999999999998
3,3,48,6,31129.999999999996,-30.0
4,3,48,6,0.0,0.0
5,3,48,6,0.0,0.0
6,3,48,6,0.0,0.0
7,3,48,6,0.0,0.0
8,3,48,6,0.0,0.0
9,3,48,6,0.0,0.0
10,3,48,6,0.0,0.0
1,3,51,6,21110.0,-30.0
2,3,51,6,10369.999999999995,-9.999999999999998
3,3,51,6,21110.0,-30.0
4,3,51,6,0.0,0.0
5,3,51,6,0.0,0.0
6,3,51,6,0.0,0.0
7,3,51,6,0.0,0.0
8,3,51,6,0.0,0.0
9,3,51,6,0.0,0.0
10,3,51,6,0.0,0.0
1,3,54,6,37130.0,-30.0
2,3,54,6,15709.999999999998,-9.999999999999998
3,3,54,6,37130.0,-30.0
4,3,54,6,0.0,0.0
5,3,54,6,0.0,0.0
6,3,54,6,0.0,0.0
7,3,54,6,0.0,0.0
8,3,54,6,0.0,0.0
9,3,54,6,0.0,0.0
10,3,54,6,0.0,0.0
1,3,57,6,24739.999999999996,-30.0
