NO,PROBABILIDADE
1,1.0
2,0.037
3,1.0
4,1.0
5,0.037
6,1.0
7,1.0
8,0.037
9,1.0
10,1.0
11,0.037
12,1.0
13,1.0
14,0.037
15,1.0
16,1.0
17,0.037
18,1.0
19,1.0
20,0.037
21,1.0
22,1.0
23,0.037
24,1.0
25,1.0
26,0.037
27,1.0
28,1.0
29,0.037
30,1.0
31,1.0
32,0.037
33,1.0
34,1.0
35,0.037
36,1.0
37,1.0
38,0.037
39,1.0
40,1.0
41,0.037
42,1.0
43,1.0
44,0.037
45,1.0
46,1.0
50,0.037
51,1.0
52,1.0
53,0.074
54,1.0
55,1.0
56,0.037
57,1.0
58,1.0
59,0.037
60,1.0
61,1.0
62,0.037
63,1.0
64,1.0
68,0.037
69,1.0
70,1.0
71,0.074
72,1.0
73,1.0
77,0.037
78,1.0
79,1.0
80,0.074
81,1.0
82,1.0
