"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_BKA_24_1_1";4;24;6;900,741;880,259;1,96;131,37;769,371;1032,111;348,281;372,521;274,277;477,295;41,923;13,844;0,241;0,126;-0,593;-0,754;20,481;0,101;1;0,844;0,969;0,882;0,848;0,681;0,657
"2";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_BKA_24_1_1";3;24;6;1312,111;1312,111;1,96;218,668;1093,444;1530,779;579,72;579,72;456,539;794,467;41,923;13,844;0,3;0,3;-0,906;-0,906;0;0;1;1;0,903;0,997;1;1;0,615
"3";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_BKA_24_1_1";2;24;6;1343;1343;1,96;218,77;1124,23;1561,77;579,99;579,99;456,752;794,837;41,923;13,844;0,323;0,323;-1,5;-1,5;0;0;1;1;0,96;0,88;1;1;0,726
"4";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_modelo_24cen";4;24;6;900,741;950,542;1,96;131,37;769,371;1032,111;348,281;329,758;274,277;477,295;41,923;13,844;0,241;0,251;-0,593;-0,59;49,801;0,064;1;0,61;0,805;0,794;0,66;0,746;0,623
"5";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_modelo_24cen";3;24;6;1312,111;1417,625;1,96;218,668;1093,444;1530,779;579,72;527,149;456,539;794,467;41,923;13,844;0,3;0,354;-0,906;-0,901;105,514;0,101;0,999;0,508;0,657;0,778;0,598;0,596;0,5
"6";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_modelo_24cen";2;24;6;1343;1422,625;1,96;218,77;1124,23;1561,77;579,99;566,9;456,752;794,837;41,923;13,844;0,323;0,142;-1,5;-1,549;79,625;0,073;1;0,63;0,927;0,963;0,679;0,824;0,595
"7";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_1";4;24;6;900,741;961,875;1,96;131,37;769,371;1032,111;348,281;350,338;274,277;477,295;41,923;13,844;0,241;-0,092;-0,593;-1,294;90,431;0,189;0,754;0,544;0,961;0,591;0,64;0,954;0,52
"8";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_1";3;24;6;1312,111;1126;1,96;218,668;1093,444;1530,779;579,72;518,317;456,539;794,467;41,923;13,844;0,3;1,031;-0,906;0,381;199,222;0,254;0,386;0,241;0,599;0,357;0,52;0,62;0,212
"9";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_1";2;24;6;1343;1188,792;1,96;218,77;1124,23;1561,77;579,99;523,232;456,752;794,837;41,923;13,844;0,323;0,806;-1,5;-0,705;154,208;0,115;0,996;0,333;0,63;0,496;0,495;0,539;0,372
"10";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_2";4;24;6;900,741;888,333;1,96;131,37;769,371;1032,111;348,281;285,622;274,277;477,295;41,923;13,844;0,241;-0,171;-0,593;-1,154;66,704;0,096;1;0,892;0,346;0,458;0,888;0,506;0,992
"11";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_2";3;24;6;1312,111;1296,125;1,96;218,668;1093,444;1530,779;579,72;606,315;456,539;794,467;41,923;13,844;0,3;0,084;-0,906;-1,156;65,458;0,087;1;0,925;0,811;0,704;0,934;0,754;0,962
"12";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_2";2;24;6;1343;1221,042;1,96;218,77;1124,23;1561,77;579,99;602,175;456,752;794,837;41,923;13,844;0,323;0,622;-1,5;-1,353;121,958;0,157;0,914;0,475;0,839;0,67;0,58;0,734;0,37
"13";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_3";4;24;6;900,741;1045,625;1,96;131,37;769,371;1032,111;348,281;334,364;274,277;477,295;41,923;13,844;0,241;0,121;-0,593;-0,154;145,847;0,226;0,534;0,144;0,858;0,656;0,503;0,792;0,151
"14";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_3";3;24;6;1312,111;1235,792;1,96;218,668;1093,444;1530,779;579,72;469,888;456,539;794,467;41,923;13,844;0,3;0,558;-0,906;-0,41;124,986;0,101;0,999;0,613;0,318;0,199;0,674;0,484;0,827
"15";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_3";2;24;6;1343;1268,417;1,96;218,77;1124,23;1561,77;579,99;532,275;456,752;794,837;41,923;13,844;0,323;0,591;-1,5;-1,029;74,583;0,073;1;0,641;0,69;0,478;0,649;0,56;0,726
"16";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_4";4;24;6;900,741;822,583;1,96;131,37;769,371;1032,111;348,281;287,442;274,277;477,295;41,923;13,844;0,241;-0,006;-0,593;-0,565;79,241;0,166;0,875;0,394;0,361;0,287;0,536;0,49;0,427
"17";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_4";3;24;6;1312,111;1282,208;1,96;218,668;1093,444;1530,779;579,72;651,679;456,539;794,467;41,923;13,844;0,3;0,474;-0,906;-1,135;97,958;0,115;0,996;0,867;0,553;0,487;0,861;0,521;0,74
"18";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_4";2;24;6;1343;1464,958;1,96;218,77;1124,23;1561,77;579,99;529,542;456,752;794,837;41,923;13,844;0,323;0,135;-1,5;-1,453;121,958;0,157;0,914;0,445;0,672;0,671;0,58;0,552;0,371
"19";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_5";4;24;6;900,741;919,958;1,96;131,37;769,371;1032,111;348,281;276,685;274,277;477,295;41,923;13,844;0,241;0,254;-0,593;-0,765;62,884;0,171;0,854;0,831;0,273;0,267;0,846;0,485;0,77
"20";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_5";3;24;6;1312,111;1399,625;1,96;218,668;1093,444;1530,779;579,72;553,946;456,539;794,467;41,923;13,844;0,3;0,544;-0,906;-0,699;147,375;0,157;0,914;0,592;0,84;0,521;0,627;0,764;0,536
"21";"3Aberturas_Equiprovavel/Pente_24cen";"Pente_Amostrado_5";2;24;6;1343;1284,542;1,96;218,77;1124,23;1561,77;579,99;570,465;456,752;794,837;41,923;13,844;0,323;0,489;-1,5;-1,331;58,458;0,032;1;0,724;0,951;0,877;0,727;0,894;0,726
