iter,est,no,usina,Indep,Coef
4,4,36,6,38420.00000000001,-30.0
4,4,38,6,36680.0,-30.0
4,4,39,6,26570.000000000004,-30.0
4,4,40,6,41540.0,-30.0
4,3,3,6,5997.0,0.0
4,3,7,6,13252.599999999993,-9.999999999999998
4,3,11,6,31879.759999999995,-23.310000000000002
4,3,16,6,13185.140000000007,-19.98
4,3,20,6,41314.55,-30.0
4,3,24,6,58640.21000000001,-30.0
4,3,29,6,26038.940000000002,-29.969999999999995
4,3,33,6,56098.76,-30.0
4,3,37,6,70855.07,-30.0
4,2,2,6,15270.908809999995,-11.092230000000004
4,2,15,6,51255.586700000014,-30.0
4,2,28,6,79766.59241000001,-30.0
4,1,1,6,98715.59827736001,-30.0
