NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
  97 POTEF   216.00  1 2020          CUBATAO                                                                                                                                                            
  97 GTMIN    86.40  1 2020                                                                                                                                                                             
  12 POTEF   529.20  1 2020          CUIABA G CC                                                                                                                                                        
  12 FCMAX     0.00  1 2020                                                                                                                                                                             
 153 POTEF    44.44  1 2020          DAIA                                                                                                                                                               
 153 FCMAX    84.99  1 2020                                                                                                                                                                             
  65 POTEF   254.80  1 2020          DO ATLAN_CSA                                                                                                                                                       
  65 GTMIN   236.12  1 2020  5 2020                                                                                                                                                                     
  65 GTMIN   220.37  6 2020  6 2020                                                                                                                                                                     
  65 GTMIN   236.12  7 2020  8 2020                                                                                                                                                                     
  65 GTMIN   212.51  9 2020  9 2020                                                                                                                                                                     
  65 GTMIN   159.95 10 2020 10 2020                                                                                                                                                                     
  65 GTMIN   149.53 11 2020 11 2020                                                                                                                                                                     
  65 GTMIN   220.90 12 2020 12 2020                                                                                                                                                                     
  65 GTMIN    99.02  1 2021  1 2021                                                                                                                                                                     
  65 GTMIN    16.85  2 2021  2 2021                                                                                                                                                                     
  65 GTMIN   236.12  3 2021  6 2021                                                                                                                                                                     
  65 GTMIN   220.89  7 2021  8 2021                                                                                                                                                                     
  65 GTMIN   236.12  9 2021 12 2021                                                                                                                                                                     
  65 IPTER    58.06  1 2021  1 2021                                                                                                                                                                     
  65 GTMIN   220.89  1 2022  1 2022                                                                                                                                                                     
  65 IPTER    92.86  2 2021  2 2021                                                                                                                                                                     
  65 GTMIN   236.12  2 2022  2 2022                                                                                                                                                                     
  65 IPTER     0.00  3 2021  6 2021                                                                                                                                                                     
  65 GTMIN   220.89  3 2022  3 2022                                                                                                                                                                     
  65 IPTER     6.45  7 2021  8 2021                                                                                                                                                                     
  65 GTMIN   236.12  4 2022  8 2022                                                                                                                                                                     
  65 IPTER     0.00  9 2021 12 2021                                                                                                                                                                     
  65 IPTER     6.45  1 2022  1 2022                                                                                                                                                                     
  65 GTMIN   121.86 10 2022 10 2022                                                                                                                                                                     
