est,iter,usina,Indep,Coef
5,1,1,4990.0,-10.0
5,1,2,4990.0,0.0
4,1,1,14630.0,-10.0
4,1,2,14630.0,0.0
3,1,1,18660.0,-10.0
3,1,2,18660.0,0.0
2,1,1,22460.0,-10.0
2,1,2,22460.0,0.0
1,1,1,3560.0,-10.0
1,1,2,3560.0,0.0
5,2,1,3250.0,0.0
5,2,2,3250.0,0.0
4,2,1,11230.0,0.0
4,2,2,11230.0,0.0
3,2,1,14480.0,0.0
3,2,2,14480.0,0.0
2,2,1,22460.0,-10.0
2,2,2,22460.0,0.0
1,2,1,3560.0,-10.0
1,2,2,3560.0,0.0
5,3,1,4245.0,-5.0
5,3,2,4245.0,0.0
4,3,1,13055.0,-5.0
4,3,2,13055.0,0.0
3,3,1,16820.0,-5.0
3,3,2,16820.0,0.0
2,3,1,22460.0,-10.0
2,3,2,22460.0,0.0
1,3,1,3560.0,-10.0
1,3,2,3560.0,0.0
