etapa,iter,miniIter,est,node,ilha,codigoBarraDE,codigoBarraPARA,capacidade,fluxo,folga
FORWARD,1,1,1,1,1,1,2,500.0,-15.5,-9999.0
FORWARD,1,1,1,1,1,1,4,500.0,26.7,-9999.0
FORWARD,1,1,1,1,1,1,5,500.0,232.8,-9999.0
FORWARD,1,1,1,1,1,2,3,500.0,245.8,-9999.0
FORWARD,1,1,1,1,1,2,4,500.0,84.5,-9999.0
FORWARD,1,1,1,1,1,2,5,500.0,243.1,-9999.0
FORWARD,1,1,1,1,1,2,6,500.0,411.2,-9999.0
FORWARD,1,1,1,1,1,3,5,500.0,44.1,-9999.0
FORWARD,1,1,1,1,1,3,6,500.0,207.8,-9999.0
FORWARD,1,1,1,1,1,4,5,500.0,161.2,-9999.0
FORWARD,1,1,1,1,1,5,6,500.0,31.0,-9999.0
FORWARD,1,1,2,2,1,1,2,500.0,-25.2,-9999.0
FORWARD,1,1,2,2,1,1,4,500.0,19.6,-9999.0
FORWARD,1,1,2,2,1,1,5,500.0,225.5,-9999.0
FORWARD,1,1,2,2,1,2,3,500.0,237.6,-9999.0
FORWARD,1,1,2,2,1,2,4,500.0,89.6,-9999.0
FORWARD,1,1,2,2,1,2,5,500.0,242.3,-9999.0
FORWARD,1,1,2,2,1,2,6,500.0,405.4,-9999.0
FORWARD,1,1,2,2,1,3,5,500.0,51.0,-9999.0
FORWARD,1,1,2,2,1,3,6,500.0,216.7,-9999.0
FORWARD,1,1,2,2,1,4,5,500.0,159.3,-9999.0
FORWARD,1,1,2,2,1,5,6,500.0,28.0,-9999.0
FORWARD,1,1,3,3,1,1,2,500.0,-34.4,-9999.0
FORWARD,1,1,3,3,1,1,4,500.0,12.9,-9999.0
FORWARD,1,1,3,3,1,1,5,500.0,218.5,-9999.0
FORWARD,1,1,3,3,1,2,3,500.0,229.8,-9999.0
FORWARD,1,1,3,3,1,2,4,500.0,94.6,-9999.0
FORWARD,1,1,3,3,1,2,5,500.0,241.5,-9999.0
FORWARD,1,1,3,3,1,2,6,500.0,399.8,-9999.0
FORWARD,1,1,3,3,1,3,5,500.0,57.7,-9999.0
FORWARD,1,1,3,3,1,3,6,500.0,225.2,-9999.0
FORWARD,1,1,3,3,1,4,5,500.0,157.5,-9999.0
FORWARD,1,1,3,3,1,5,6,500.0,25.0,-9999.0
FORWARD,1,1,4,4,1,1,2,500.0,-87.1,-9999.0
FORWARD,1,1,4,4,1,1,4,500.0,25.3,-9999.0
FORWARD,1,1,4,4,1,1,5,500.0,195.8,-9999.0
FORWARD,1,1,4,4,1,2,3,500.0,84.7,-9999.0
FORWARD,1,1,4,4,1,2,4,500.0,224.9,-9999.0
FORWARD,1,1,4,4,1,2,5,500.0,253.9,-9999.0
FORWARD,1,1,4,4,1,2,6,500.0,349.5,-9999.0
FORWARD,1,1,4,4,1,3,5,500.0,211.5,-9999.0
FORWARD,1,1,4,4,1,3,6,500.0,487.3,-9999.0
FORWARD,1,1,4,4,1,4,5,500.0,134.2,-9999.0
FORWARD,1,1,4,4,1,5,6,500.0,-20.9,-9999.0
FORWARD,1,1,5,5,1,1,2,500.0,-73.1,-9999.0
FORWARD,1,1,5,5,1,1,4,500.0,-15.4,-9999.0
FORWARD,1,1,5,5,1,1,5,500.0,189.5,-9999.0
FORWARD,1,1,5,5,1,2,3,500.0,197.0,-9999.0
FORWARD,1,1,5,5,1,2,4,500.0,115.3,-9999.0
FORWARD,1,1,5,5,1,2,5,500.0,238.2,-9999.0
FORWARD,1,1,5,5,1,2,6,500.0,376.5,-9999.0
FORWARD,1,1,5,5,1,3,5,500.0,85.4,-9999.0
FORWARD,1,1,5,5,1,3,6,500.0,260.6,-9999.0
FORWARD,1,1,5,5,1,4,5,500.0,149.8,-9999.0
FORWARD,1,1,5,5,1,5,6,500.0,12.8,-9999.0
FORWARD,2,1,1,1,1,1,2,500.0,-113.7,-9999.0
FORWARD,2,1,1,1,1,1,4,500.0,-45.2,-9999.0
FORWARD,2,1,1,1,1,1,5,500.0,158.9,-9999.0
FORWARD,2,1,1,1,1,2,3,500.0,162.5,-9999.0
FORWARD,2,1,1,1,1,2,4,500.0,137.0,-9999.0
FORWARD,2,1,1,1,1,2,5,500.0,234.8,-9999.0
FORWARD,2,1,1,1,1,2,6,500.0,352.1,-9999.0
FORWARD,2,1,1,1,1,3,5,500.0,114.6,-9999.0
FORWARD,2,1,1,1,1,3,6,500.0,298.0,-9999.0
FORWARD,2,1,1,1,1,4,5,500.0,141.8,-9999.0
FORWARD,2,1,1,1,1,5,6,500.0,-0.0,-9999.0
FORWARD,2,1,2,2,1,1,2,500.0,-113.7,-9999.0
FORWARD,2,1,2,2,1,1,4,500.0,-45.2,-9999.0
FORWARD,2,1,2,2,1,1,5,500.0,158.9,-9999.0
FORWARD,2,1,2,2,1,2,3,500.0,162.5,-9999.0
FORWARD,2,1,2,2,1,2,4,500.0,137.0,-9999.0
FORWARD,2,1,2,2,1,2,5,500.0,234.8,-9999.0
FORWARD,2,1,2,2,1,2,6,500.0,352.1,-9999.0
FORWARD,2,1,2,2,1,3,5,500.0,114.6,-9999.0
FORWARD,2,1,2,2,1,3,6,500.0,298.0,-9999.0
FORWARD,2,1,2,2,1,4,5,500.0,141.8,-9999.0
FORWARD,2,1,2,2,1,5,6,500.0,-0.0,-9999.0
FORWARD,2,1,3,3,1,1,2,500.0,-113.7,-9999.0
FORWARD,2,1,3,3,1,1,4,500.0,-45.2,-9999.0
FORWARD,2,1,3,3,1,1,5,500.0,158.9,-9999.0
FORWARD,2,1,3,3,1,2,3,500.0,162.5,-9999.0
FORWARD,2,1,3,3,1,2,4,500.0,137.0,-9999.0
FORWARD,2,1,3,3,1,2,5,500.0,234.8,-9999.0
FORWARD,2,1,3,3,1,2,6,500.0,352.1,-9999.0
FORWARD,2,1,3,3,1,3,5,500.0,114.6,-9999.0
FORWARD,2,1,3,3,1,3,6,500.0,298.0,-9999.0
FORWARD,2,1,3,3,1,4,5,500.0,141.8,-9999.0
FORWARD,2,1,3,3,1,5,6,500.0,-0.0,-9999.0
FORWARD,2,1,4,4,1,1,2,500.0,-21.9,-9999.0
FORWARD,2,1,4,4,1,1,4,500.0,73.1,-9999.0
FORWARD,2,1,4,4,1,1,5,500.0,244.8,-9999.0
FORWARD,2,1,4,4,1,2,3,500.0,140.0,-9999.0
FORWARD,2,1,4,4,1,2,4,500.0,190.0,-9999.0
FORWARD,2,1,4,4,1,2,5,500.0,259.4,-9999.0
FORWARD,2,1,4,4,1,2,6,500.0,388.8,-9999.0
FORWARD,2,1,4,4,1,3,5,500.0,164.7,-9999.0
FORWARD,2,1,4,4,1,3,6,500.0,427.5,-9999.0
FORWARD,2,1,4,4,1,4,5,500.0,147.1,-9999.0
FORWARD,2,1,4,4,1,5,6,500.0,-0.2,-9999.0
FORWARD,2,1,5,5,1,1,2,500.0,2.7,-9999.0
FORWARD,2,1,5,5,1,1,4,500.0,53.7,-9999.0
FORWARD,2,1,5,5,1,1,5,500.0,243.6,-9999.0
FORWARD,2,1,5,5,1,2,3,500.0,247.1,-9999.0
FORWARD,2,1,5,5,1,2,4,500.0,102.1,-9999.0
FORWARD,2,1,5,5,1,2,5,500.0,241.8,-9999.0
FORWARD,2,1,5,5,1,2,6,500.0,411.7,-9999.0
