etapa,iter,miniIter,est,node,nome,usina,generation,custo,custoTotal
FORWARD,1,1,1,1,TERM1,1,100.0,5.0,500.0
FORWARD,1,1,1,1,TERM2,2,100.0,10.0,1000.0
FORWARD,1,1,1,1,TERM3,3,100.0,15.0,1500.0
FORWARD,1,1,1,1,TERM4,4,100.0,20.0,2000.0
FORWARD,1,1,1,1,TERM5,5,100.0,25.0,2500.0
FORWARD,1,1,1,1,TERM6,6,100.0,30.0,3000.0
FORWARD,1,1,1,1,TERM7,7,100.0,35.0,3500.0
FORWARD,1,1,1,1,TERM8,8,100.0,40.0,4000.0
FORWARD,1,1,1,1,TERM9,9,100.0,45.0,4500.0
FORWARD,1,1,1,1,TERM10,10,0.0,50.0,0.0
FORWARD,1,1,1,1,TERM11,11,0.0,55.0,0.0
FORWARD,1,2,1,1,TERM1,1,100.0,5.0,500.0
FORWARD,1,2,1,1,TERM2,2,100.0,10.0,1000.0
FORWARD,1,2,1,1,TERM3,3,100.0,15.0,1500.0
FORWARD,1,2,1,1,TERM4,4,100.0,20.0,2000.0
FORWARD,1,2,1,1,TERM5,5,100.0,25.0,2500.0
FORWARD,1,2,1,1,TERM6,6,100.0,30.0,3000.0
FORWARD,1,2,1,1,TERM7,7,100.0,35.0,3500.0
FORWARD,1,2,1,1,TERM8,8,100.0,40.0,4000.0
FORWARD,1,2,1,1,TERM9,9,0.0,45.0,0.0
FORWARD,1,2,1,1,TERM10,10,52.9,50.0,2645.0
FORWARD,1,2,1,1,TERM11,11,47.1,55.0,2590.5
