etapa,iter,miniIter,est,node,prob,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,1,0,1,1,1,UHE1,1,10.0,0.0,10.0,10.0,0.0,0.0
FW,1,0,1,1,1,UHE2,2,21.0,0.0,11.0,21.0,0.0,0.0
FW,1,0,2,2,1,UHE1,1,7.0,0.0,7.0,7.0,0.0,0.0
FW,1,0,2,2,1,UHE2,2,15.0,0.0,8.0,15.0,0.0,0.0
FW,1,0,3,3,1,UHE1,1,16.0,0.0,16.0,16.0,0.0,0.0
FW,1,0,3,3,1,UHE2,2,33.0,0.0,17.0,33.0,0.0,0.0
FW,1,0,4,4,1,UHE1,1,18.0,0.0,18.0,18.0,0.0,0.0
FW,1,0,4,4,1,UHE2,2,36.0,0.0,18.0,36.0,0.0,0.0
FW,1,0,5,5,1,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FW,1,0,5,5,1,UHE2,2,51.0,0.0,26.0,51.0,0.0,0.0
FW,2,0,1,1,1,UHE1,1,0.0,0.0,10.0,0.0,0.0,10.0
FW,2,0,1,1,1,UHE2,2,0.0,0.0,11.0,0.0,0.0,11.0
FW,2,0,2,2,1,UHE1,1,0.0,10.0,7.0,0.0,0.0,17.0
FW,2,0,2,2,1,UHE2,2,0.0,11.0,8.0,0.0,0.0,19.0
FW,2,0,3,3,1,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FW,2,0,3,3,1,UHE2,2,0.0,19.0,17.0,0.0,0.0,36.0
FW,2,0,4,4,1,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FW,2,0,4,4,1,UHE2,2,59.0,36.0,18.0,59.0,0.0,46.0
FW,2,0,5,5,1,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FW,2,0,5,5,1,UHE2,2,59.0,46.0,26.0,59.0,0.0,38.0
FW,3,0,1,1,1,UHE1,1,0.0,0.0,10.0,0.0,0.0,10.0
FW,3,0,1,1,1,UHE2,2,0.0,0.0,11.0,0.0,0.0,11.0
FW,3,0,2,2,1,UHE1,1,0.0,10.0,7.0,0.0,0.0,17.0
FW,3,0,2,2,1,UHE2,2,0.0,11.0,8.0,0.0,0.0,19.0
FW,3,0,3,3,1,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FW,3,0,3,3,1,UHE2,2,36.0,19.0,17.0,36.0,0.0,0.0
FW,3,0,4,4,1,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FW,3,0,4,4,1,UHE2,2,59.0,0.0,18.0,59.0,0.0,10.0
FW,3,0,5,5,1,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FW,3,0,5,5,1,UHE2,2,59.0,10.0,26.0,59.0,0.0,2.0
