TIPO,CASO,FALHA,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProbQuad,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,NeuralGas,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,NeuralGasSimetrico,mean_limite,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,BKAssimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,3.0,0.61
avaliaArvores/A_125_2_2_Teste,BKSimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,57.99999999999999,55.67
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinear,std_limite,FALHOU_AO_MENOS_UMTESTE,18.0,15.11
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinearQuad,std_limite,FALHOU_AO_MENOS_UMTESTE,22.0,17.65
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoPacote,std_limite,FALHOU_AO_MENOS_UMTESTE,20.0,17.19
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProb,std_limite,FALHOU_AO_MENOS_UMTESTE,19.0,15.45
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProbQuad,std_limite,FALHOU_AO_MENOS_UMTESTE,22.0,17.89
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinear,std_limite,FALHOU_AO_MENOS_UMTESTE,35.0,26.38
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinearQuad,std_limite,FALHOU_AO_MENOS_UMTESTE,31.0,23.98
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoPacote,std_limite,FALHOU_AO_MENOS_UMTESTE,34.0,25.22
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProb,std_limite,FALHOU_AO_MENOS_UMTESTE,33.0,26.85
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProbQuad,std_limite,FALHOU_AO_MENOS_UMTESTE,32.0,31.38
avaliaArvores/A_125_2_2_Teste,NeuralGas,std_limite,FALHOU_AO_MENOS_UMTESTE,22.0,15.6
avaliaArvores/A_125_2_2_Teste,NeuralGasSimetrico,std_limite,FALHOU_AO_MENOS_UMTESTE,84.0,77.64
avaliaArvores/A_125_2_2_Teste,BKAssimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,0.0,0.0
avaliaArvores/A_125_2_2_Teste,BKSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,35.0,54.32
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinear,distribution,FALHOU_AO_MENOS_UMTESTE,18.0,2.63
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoLinearQuad,distribution,FALHOU_AO_MENOS_UMTESTE,16.0,1.53
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoPacote,distribution,FALHOU_AO_MENOS_UMTESTE,7.000000000000001,0.74
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProb,distribution,FALHOU_AO_MENOS_UMTESTE,17.0,2.19
avaliaArvores/A_125_2_2_Teste,KMeansAssimetricoProbQuad,distribution,FALHOU_AO_MENOS_UMTESTE,16.0,1.92
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinear,distribution,FALHOU_AO_MENOS_UMTESTE,21.0,3.14
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoLinearQuad,distribution,FALHOU_AO_MENOS_UMTESTE,21.0,14.94
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoPacote,distribution,FALHOU_AO_MENOS_UMTESTE,18.0,2.99
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProb,distribution,FALHOU_AO_MENOS_UMTESTE,21.0,3.59
avaliaArvores/A_125_2_2_Teste,KMeansSimetricoProbQuad,distribution,FALHOU_AO_MENOS_UMTESTE,24.0,4.65
avaliaArvores/A_125_2_2_Teste,NeuralGas,distribution,FALHOU_AO_MENOS_UMTESTE,14.000000000000002,2.02
avaliaArvores/A_125_2_2_Teste,NeuralGasSimetrico,distribution,FALHOU_AO_MENOS_UMTESTE,54.0,24.01
