"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;269;684,186;684,36;1,96;2564,408;661,519;706,853;654,397;713,975;22,667;29,789;660,603;653,673;645,556;633,685;60005,525;57716,669;55277,659;51261,53;706,904;712,924;723,233;735,453;74416,028;76543,791;80886,373;84430,139;258,598;259,556;243,502;275,704;562,789;438,998;239,013;281,407;584,125;421,385;0,15;0,226;-0,502;-0,335;8,478;0,016;1;0,993;0,508;0,383;0,992;0,95;0,392
"2";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;204;794,78;791,63;1,96;2564,408;767,382;822,178;758,773;830,787;27,398;36,007;768,416;761,283;743,382;733,252;87698,357;84534,412;80486,161;77156,266;823,825;830,164;839,396;849,369;107766,878;110781,435;111884,785;118767,661;312,58;310,642;294,332;333,257;562,789;438,998;288,907;340,151;584,125;421,385;0,543;0,544;-0,549;-0,592;8,102;0,012;1;0,896;0,498;0,531;0,917;0,904;0,742
"3";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;191;98,474;97,782;1,96;2564,408;86,709;110,239;83,012;113,936;11,765;15,462;87,69;83,271;79,59;75,795;13181,713;11877,519;10501,331;8794,769;110,431;116,135;117,797;125,138;23690,585;25353,481;27589,236;30796,668;134,229;133,603;126,393;143,109;562,789;438,998;124,063;146,069;584,125;421,385;2,811;2,802;9,362;9,303;1,536;0,012;1;0,947;0,229;0,294;0,938;0,975;0,056
"4";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;280;2,4;2,368;1,96;2564,408;2,311;2,489;2,283;2,517;0,089;0,117;2,312;2,282;2,23;2,2;0,924;0,903;0,841;0,793;2,484;2,518;2,522;2,554;1,139;1,187;1,158;1,204;1,014;0,998;0,955;1,081;562,789;438,998;0,937;1,103;584,125;421,385;0,336;0,312;-0,548;-0,664;0,032;0,006;1;0,681;0,804;1;0,733;0,772;0,787
"5";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;228;104,49;104,21;1,96;2564,408;100,246;108,734;98,912;110,068;4,244;5,578;100,387;99,609;98,034;96,877;1136,273;1054,993;996,622;897,655;108,834;110,044;112,838;116,622;3797,191;4266,367;5219,382;7005,994;48,424;47,824;45,597;51,627;562,789;438,998;44,757;52,695;584,125;421,385;4,962;4,714;43,27;40,293;0,86;0,014;1;0,94;0,271;0,851;0,953;0,971;0,141
"6";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;277;130,924;130,558;1,96;2564,408;128,016;133,832;127,103;134,745;2,908;3,821;128,294;127,464;126,053;124,888;863,152;781,118;669,547;592,402;133,635;134,374;135,572;137,029;1354,184;1458,62;1414,744;1529,951;33,171;31,927;31,235;35,366;562,789;438,998;30,659;36,097;584,125;421,385;2,109;2,052;5,059;4,84;0,93;0,026;1;0,884;0,954;0,856;0,889;0,751;0,924
"7";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;291;498,42;499,208;1,96;2564,408;485,511;511,329;481,454;515,386;12,909;16,966;486,058;482,028;479,708;472,937;16314,003;15480,125;15121,366;13887,192;512,047;515,583;521,208;528,433;29243,971;31260,621;34459;38375,186;147,28;148,424;138,683;157,023;562,789;438,998;136,126;160,271;584,125;421,385;1,925;1,681;9,504;7,583;4,632;0,018;1;0,945;0,265;0,472;0,947;0,944;0,048
"8";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;271;2041,43;2027,488;1,96;2564,408;1918,369;2164,491;1879,701;2203,159;123,061;161,729;1925,8;1899,556;1829,691;1768,351;1705891,925;1628475,443;1491841,519;1414276,584;2170,976;2199,928;2205,699;2303,154;2240992,727;2331483,533;2481368,516;2684122,74;1403,963;1402,541;1322,005;1496,838;562,789;438,998;1297,636;1527,8;584,125;421,385;1,15;1,193;0,846;1,027;32,782;0,024;1;0,898;0,632;0,507;0,9;0,992;0,04
"9";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;297;6,452;6,42;1,96;2564,408;6,231;6,673;6,162;6,742;0,221;0,29;6,228;6,178;6,086;5,974;5,657;5,525;5,226;4,936;6,66;6,716;6,776;6,832;7,048;7,225;7,327;7,654;2,521;2,515;2,374;2,688;562,789;438,998;2,33;2,743;584,125;421,385;0,555;0,54;-0,529;-0,582;0,068;0,006;1;0,87;0,469;0,63;0,886;0,958;0,77
"10";"avaliaArvores/A_125_2_2_Teste";"BKAssimetrico";3;250;296;43,5;43,532;1,96;2564,408;43,027;43,973;42,878;44,122;0,473;0,622;43,044;42,902;42,806;42,678;17,306;15,305;13,114;10,513;44,014;44,122;44,354;44,674;43,711;49,116;53,976;64,316;5,398;5,339;5,082;5,755;562,789;438,998;4,989;5,874;584,125;421,385;4,053;3,89;25,236;23,333;0,124;0,014;1;0,939;0,156;0,555;0,939;0,961;0,371
