,posto,estagio,media_reduzida,media_original,desvio_original
0,17,2,251.6,255.14,7.674527174161205
1,66,2,8969.4,8972.9,182.94308806125403
2,275,2,4787.4,4712.26,240.76415846217643
3,156,2,642.4,641.04,53.056750517820106
4,211,2,147.2,151.2,14.376852143324713
5,22,2,63.4,62.98,4.506186224038492
6,25,2,277.2,269.06,19.43635348347765
7,292,2,3142.4,3154.16,75.08019114280954
8,17,3,454.2307692307692,453.74,17.05789660933299
9,66,3,11596.538461538461,11588.94,258.5816422607872
10,275,3,7218.2307692307695,7177.74,198.81883970189585
11,156,3,643.0769230769231,656.12,75.25972443776936
12,211,3,192.69230769230768,195.62,24.741017747531597
13,22,3,71.0,71.26,3.19955354028384
14,25,3,453.0769230769231,436.2,41.09670029953991
15,292,3,6814.692307692308,6785.46,355.5938528198502
16,17,4,553.64,553.3,14.090451246377121
17,66,4,15609.48,15625.84,438.28694170064676
18,275,4,11955.08,11932.88,343.52076490128997
19,156,4,381.24,382.82,37.423494748402014
20,211,4,116.6,120.42,14.39967403259178
21,22,4,66.0,66.12,2.4381324401923634
22,25,4,294.04,295.48,20.930633735542468
23,292,4,11030.24,11072.88,439.34416057183626
