iter,est,no,usina,Indep,Coef
1,4,4,6,16160.0,-30.0
1,4,7,6,6590.000000000002,-30.0
1,4,10,6,18770.0,-30.0
1,4,13,6,26569.999999999996,-30.0
1,4,16,6,31130.000000000007,-30.0
1,4,19,6,11120.0,-9.999999999999998
1,4,22,6,8660.000000000002,-30.0
1,4,25,6,21290.0,-30.0
1,4,28,6,31429.999999999993,-30.0
1,4,31,6,28220.0,-30.0
1,4,34,6,3000.0,0.0
1,4,37,6,31429.999999999993,-30.0
1,4,40,6,21110.0,-30.0
1,4,43,6,31130.000000000007,-30.0
1,4,46,6,14929.999999999998,-30.0
1,4,49,6,23360.0,-30.0
1,4,52,6,31429.999999999993,-30.0
1,4,55,6,8660.000000000002,-30.0
1,4,58,6,38420.00000000001,-30.0
1,4,61,6,26570.0,-30.0
1,4,64,6,24739.999999999996,-30.0
1,4,67,6,25850.0,-30.0
1,4,70,6,14929.999999999998,-30.0
1,4,73,6,10430.0,-9.999999999999998
1,3,3,6,31450.0,-30.0
1,3,6,6,7000.000000000002,-30.0
1,3,9,6,34060.0,-30.0
1,3,12,6,20049.999999999996,-30.0
1,3,15,6,47020.00000000001,-30.0
1,3,18,6,7309.999999999998,-10.0
1,3,21,6,23950.0,-30.0
1,3,24,6,46180.0,-30.0
1,3,27,6,60309.99999999999,-30.0
1,3,30,6,43510.0,-30.0
1,3,33,6,6000.0,0.0
1,3,36,6,46720.0,-30.0
1,3,39,6,37000.0,-30.0
1,3,42,6,60010.00000000001,-30.0
1,3,45,6,50890.0,-30.0
1,3,48,6,38650.0,-30.0
1,3,51,6,47320.0,-30.0
1,3,54,6,9070.000000000002,-30.0
1,3,57,6,38830.00000000001,-30.0
1,3,60,6,5139.9999999999945,-30.0
1,3,63,6,40630.0,-30.0
1,3,66,6,4806.666666666659,-10.0
1,3,69,6,30819.999999999993,-30.0
1,3,72,6,6620.000000000004,-10.0
1,2,2,6,60270.0,-30.0
1,2,5,6,20580.0,-30.0
1,2,8,6,47640.0,-30.0
1,2,11,6,33630.0,-30.0
1,2,14,6,75840.0,-30.0
1,2,17,6,36129.99999999999,-30.0
1,2,20,6,10680.000000000004,-30.0
1,2,23,6,75000.0,-30.0
1,2,26,6,73890.0,-30.0
1,2,29,6,72330.0,-30.0
1,2,32,6,9000.0,0.0
1,2,35,6,33450.0,-30.0
1,2,38,6,65820.0,-30.0
1,2,41,6,46740.0,-30.0
1,2,44,6,79710.0,-30.0
1,2,47,6,25379.999999999993,-30.0
1,2,50,6,60900.0,-30.0
1,2,53,6,22650.0,-30.0
1,2,56,6,52410.00000000001,-30.0
1,2,59,6,33960.0,-30.0
1,2,62,6,27360.0,-30.0
1,2,65,6,33626.66666666666,-30.0
1,2,68,6,17549.999999999993,-30.0
1,2,71,6,20200.000000000004,-30.0
1,1,1,6,93117.8936,-30.0
2,4,4,6,8719.999999999995,-9.999999999999998
2,4,7,6,5530.0,-9.999999999999998
2,4,10,6,9589.999999999995,-9.999999999999998
2,4,13,6,12189.999999999993,-9.999999999999998
2,4,16,6,13709.999999999998,-9.999999999999998
2,4,19,6,3000.0,0.0
2,4,22,6,6220.0,-9.999999999999998
2,4,25,6,10429.999999999995,-9.999999999999998
2,4,28,6,13809.99999999999,-9.999999999999998
2,4,31,6,12739.999999999993,-9.999999999999998
2,4,34,6,3000.0,0.0
2,4,37,6,13809.99999999999,-9.999999999999998
2,4,40,6,10369.999999999995,-9.999999999999998
2,4,43,6,13709.999999999998,-9.999999999999998
2,4,46,6,8309.999999999995,-9.999999999999998
2,4,49,6,11119.999999999995,-9.999999999999998
2,4,52,6,13809.99999999999,-9.999999999999998
2,4,55,6,6220.0,-9.999999999999998
2,4,58,6,16139.999999999998,-9.999999999999998
2,4,61,6,12189.999999999993,-9.999999999999998
2,4,64,6,11579.999999999993,-9.999999999999998
2,4,67,6,11949.999999999993,-9.999999999999998
2,4,70,6,8309.999999999995,-9.999999999999998
2,4,73,6,3000.0,0.0
2,3,3,6,31449.999999999993,-30.0
2,3,6,6,8999.999999999993,-9.999999999999996
2,3,9,6,18019.99999999999,-9.999999999999996
2,3,12,6,13349.99999999999,-9.999999999999996
2,3,15,6,47020.00000000001,-30.0
2,3,18,6,7310.000000000002,-10.0
2,3,21,6,14650.0,-9.999999999999996
2,3,24,6,46180.0,-30.0
2,3,27,6,60309.99999999999,-30.0
2,3,30,6,43510.0,-30.0
2,3,33,6,6000.0,0.0
2,3,36,6,22239.999999999985,-9.999999999999996
2,3,39,6,37000.0,-30.0
2,3,42,6,26669.999999999996,-9.999999999999996
2,3,45,6,50889.99999999999,-30.0
2,3,48,6,19549.99999999999,-9.999999999999996
2,3,51,6,47319.99999999999,-30.0
2,3,54,6,9690.0,-9.999999999999996
2,3,57,6,19610.0,-9.999999999999996
2,3,60,6,8379.99999999999,-9.999999999999996
2,3,63,6,20209.99999999999,-9.999999999999996
2,3,66,6,8139.9999999999945,-9.999999999999996
2,3,69,6,16939.999999999985,-9.999999999999996
2,3,72,6,6620.000000000001,-10.0
2,2,2,6,60270.0,-30.0
2,2,5,6,22579.999999999993,-30.0
2,2,8,6,47640.0,-30.000000000000004
2,2,11,6,33630.0,-30.000000000000004
2,2,14,6,75840.0,-30.0
2,2,17,6,36129.99999999999,-30.0
2,2,20,6,13560.000000000005,-9.999999999999996
2,2,23,6,75000.0,-30.0
2,2,26,6,73890.0,-30.0
2,2,29,6,72330.0,-30.0
2,2,32,6,9000.0,0.0
2,2,35,6,33449.99999999999,-30.000000000000004
2,2,38,6,65820.0,-30.0
2,2,41,6,46740.00000000001,-30.000000000000004
2,2,44,6,79710.0,-30.0
2,2,47,6,25380.000000000004,-30.0
2,2,50,6,60900.0,-30.0
2,2,53,6,23270.0,-30.0
2,2,56,6,52410.00000000001,-30.0
2,2,59,6,37199.999999999985,-30.0
2,2,62,6,27360.000000000004,-30.0
2,2,65,6,36959.99999999999,-30.0
2,2,68,6,17549.999999999985,-30.0
2,2,71,6,20200.000000000004,-30.0
2,1,1,6,93620.98939999999,-30.0
