NO,PROBABILIDADE
1,1.0
2,0.04167
3,1.0
4,1.0
5,0.04167
6,1.0
7,1.0
8,0.04167
9,1.0
10,1.0
11,0.04167
12,1.0
13,1.0
14,0.04167
15,1.0
16,1.0
17,0.04167
18,1.0
19,1.0
20,0.04167
21,1.0
22,1.0
23,0.04167
24,1.0
25,1.0
26,0.04167
27,1.0
28,1.0
29,0.04167
30,1.0
31,1.0
32,0.04167
33,1.0
34,1.0
35,0.04167
36,1.0
37,1.0
38,0.04167
39,1.0
40,1.0
41,0.04167
42,1.0
43,1.0
44,0.04167
45,1.0
46,1.0
47,0.04167
48,1.0
49,1.0
50,0.04167
51,1.0
52,1.0
53,0.04167
54,1.0
55,1.0
56,0.04167
57,1.0
58,1.0
59,0.04167
60,1.0
61,1.0
62,0.04167
63,1.0
64,1.0
65,0.04167
66,1.0
67,1.0
68,0.04167
69,1.0
70,1.0
71,0.04167
72,1.0
73,1.0
