NO,PROBABILIDADE
1,1
2,0.125
3,1
4,1
5,0.125
6,1
7,1
8,0.125
9,1
10,1
11,0.125
12,1
13,1
14,0.125
15,1
16,1
17,0.125
18,1
19,1
20,0.125
21,1
22,1
23,0.125
24,1
25,1
