 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2020       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2021       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2022       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2023       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2024       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
   1  SUDESTE               ANDE
2020     2193.   1996.   1775.   1671.   1515.   1533.   1582.   1491.   1606.   1765.   1933.   1930. 
2021     2319.   2105.   1863.   1754.   1591.   1609.   1662.   1566.   1686.   1853.   2029.   2027. 
2022     2435.   2210.   1957.   1842.   1671.   1690.   1745.   1644.   1770.   1946.   2131.   2128. 
2023     2557.   2320.   2054.   1934.   1754.   1774.   1832.   1727.   1859.   2043.   2237.   2234. 
2024     2685.   2352.   2157.   2031.   1842.   1863.   1924.   1813.   1952.   2145.   2349.   2346. 
POS      2685.   2352.   2157.   2031.   1842.   1863.   1924.   1813.   1952.   2145.   2349.   2346. 
 999
