iter,est,no,usina,Indep,Coef
2,2,53,6,79590.0,-30.0
2,2,56,6,55919.999999999985,-30.0
2,2,59,6,46110.0,-30.000000000000004
2,2,62,6,62609.99999999999,-30.0
2,2,68,6,76320.0,-30.0
2,2,71,6,92130.0,-30.0
2,2,77,6,91350.0,-30.0
2,2,80,6,106320.0,-30.0
2,1,1,6,99035.35999999999,-30.0
3,4,4,6,3000.0,0.0
3,4,7,6,3000.0,0.0
3,4,10,6,3000.0,0.0
3,4,13,6,3000.0,0.0
3,4,16,6,3000.0,0.0
3,4,19,6,11120.0,-9.999999999999998
3,4,22,6,21290.0,-30.0
3,4,25,6,7199.9999999999945,-9.999999999999998
3,4,28,6,28220.0,-30.0
3,4,31,6,18770.0,-30.0
3,4,34,6,6390.0,-9.999999999999998
3,4,37,6,25850.0,-30.0
3,4,40,6,26570.0,-30.0
3,4,43,6,16700.0,-30.0
3,4,46,6,33080.0,-30.0
3,4,52,6,21110.0,-30.0
3,4,55,6,37130.0,-30.0
3,4,58,6,24740.000000000004,-30.0
3,4,61,6,14930.000000000004,-30.0
3,4,64,6,31430.0,-30.0
3,4,70,6,22610.0,-30.0
3,4,73,6,38420.0,-30.0
3,4,79,6,26570.0,-30.0
3,4,82,6,41540.0,-30.0
3,3,3,6,6000.0,0.0
3,3,6,6,6000.0,0.0
3,3,9,6,6000.0,0.0
3,3,12,6,12189.999999999995,-10.0
3,3,15,6,6000.0,0.0
3,3,18,6,14589.999999999993,-9.999999999999998
3,3,21,6,36579.999999999985,-30.0
3,3,24,6,15629.999999999989,-9.999999999999998
3,3,27,6,43509.99999999999,-30.0
3,3,30,6,12249.999999999998,-30.0
3,3,33,6,7550.0,-9.999999999999998
3,3,36,6,19330.0,-30.0
3,3,39,6,42460.0,-30.0
3,3,42,6,32590.0,-30.0
3,3,45,6,48970.0,-30.0
3,3,51,6,49990.0,-30.0
3,3,54,6,66010.0,-30.0
3,3,57,6,27099.999999999993,-30.0
3,3,60,6,17289.999999999996,-30.0
3,3,63,6,33789.99999999999,-30.0
3,3,69,6,47500.0,-30.0
3,3,72,6,63310.000000000015,-30.0
3,3,78,6,62530.00000000001,-30.0
3,3,81,6,77500.0,-30.0
3,2,2,6,9000.0,0.0
3,2,5,6,9000.0,0.0
3,2,8,6,9000.0,0.0
3,2,11,6,11099.999999999996,-9.999999999999998
3,2,14,6,9000.0,0.0
3,2,17,6,13499.99999999999,-9.999999999999998
3,2,20,6,23310.000000000004,-30.0
3,2,23,6,14539.999999999989,-9.999999999999998
3,2,26,6,30239.999999999993,-30.000000000000004
3,2,29,6,25830.0,-30.0
3,2,32,6,21130.0,-30.0
3,2,35,6,32910.0,-30.000000000000004
3,2,38,6,56040.0,-30.0
3,2,41,6,46170.0,-30.000000000000004
3,2,44,6,62550.0,-30.0
3,2,50,6,63570.0,-30.0
3,2,53,6,79590.0,-30.0
3,2,56,6,55919.999999999985,-30.0
3,2,59,6,46110.0,-30.000000000000004
3,2,62,6,62609.99999999999,-30.0
3,2,68,6,76320.0,-30.0
3,2,71,6,92130.0,-30.0
3,2,77,6,91350.0,-30.0
3,2,80,6,106320.0,-30.0
3,1,1,6,99035.35999999999,-30.0
