NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
1,83,1,2,0.185
83,84,1,3,1.0
84,85,1,4,1.0
1,87,2,2,0.11099999999999999
87,88,2,3,1.0
88,89,2,4,1.0
1,92,3,2,0.148
92,93,3,3,1.0
93,94,3,4,1.0
1,98,4,2,0.037
98,99,4,3,1.0
99,100,4,4,1.0
1,105,5,2,0.11099999999999999
105,106,5,3,1.0
106,107,5,4,1.0
1,113,6,2,0.074
113,114,6,3,1.0
114,115,6,4,1.0
1,122,7,2,0.185
122,123,7,3,1.0
123,124,7,4,1.0
1,132,8,2,0.148
132,133,8,3,1.0
133,134,8,4,1.0
