"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"1";"3Aberturas_Equiprovavel/A_2_2_2";"BKAssimetrico";4;8;6;900,741;718,444;1,96;131,37;769,371;1032,111;348,281;240,241;274,277;477,295;41,923;13,844;0,241;0,09;-0,593;-1,066;190;0,249;0,865;0,128;0,275;0,206;0,474;0,521;0,336
"2";"3Aberturas_Equiprovavel/A_2_2_2";"BKAssimetrico";3;4;6;1312,111;1246,556;1,96;218,668;1093,444;1530,779;579,72;495,212;456,539;794,467;41,923;13,844;0,3;1,156;-0,906;0,318;177,111;0,212;0,999;0,842;0,604;0,962;0,846;0,837;0,614
"3";"3Aberturas_Equiprovavel/A_2_2_2";"BKAssimetrico";2;2;6;1343;1173,667;1,96;218,77;1124,23;1561,77;579,99;661,381;456,752;794,837;41,923;13,844;0,323;0,707;-1,5;-1,5;169,333;0,323;0,995;0,841;0,21;0,392;0,864;0,824;1
"4";"3Aberturas_Equiprovavel/A_2_2_2";"ClusterAssimetrico";4;8;6;900,741;900,741;1,96;131,37;769,371;1032,111;348,281;330,527;274,277;477,295;41,923;13,844;0,241;0,287;-0,593;-0,693;67,499;0,175;0,997;1;0,692;0,767;1;0,866;0,366
"5";"3Aberturas_Equiprovavel/A_2_2_2";"ClusterAssimetrico";3;4;6;1312,111;1312,111;1,96;218,668;1093,444;1530,779;579,72;532,167;456,539;794,467;41,923;13,844;0,3;0,34;-0,906;-0,473;159,482;0,323;0,901;1;0,525;0,906;1;0,911;0,813
"6";"3Aberturas_Equiprovavel/A_2_2_2";"ClusterAssimetrico";2;2;6;1343;1343;1,96;218,77;1124,23;1561,77;579,99;541,644;456,752;794,837;41,923;13,844;0,323;0,707;-1,5;-1,5;169,333;0,323;0,995;1;0,362;0,694;1;0,774;0,717
