NOME_UHE,NO,VAZAO
271,1,1137.118380158522
285,1,22887.37867495273
273,1,274.4823865115581
257,1,261.8139686725631
288,1,2897.8215264191904
279,1,544.3367533407837
287,1,750.1433507225073
270,1,397.15737729175714
227,1,745.2153833783542
229,1,1912.145183411491
275,1,3186.349687288033
169,1,931.215823971476
156,1,458.9027391157509
237,1,198.44351895932417
32,1,49.72075444641993
61,1,207.5553302865157
49,1,60.71193494840166
24,1,211.5082530021833
6,1,421.6784856888548
34,1,372.19667164650014
266,1,2181.744345254545
31,1,188.7018162843887
245,1,381.17625403747473
47,1,106.87912718970658
8,1,25.209505904841016
17,1,241.48128690578164
242,1,31.753072733769056
25,1,260.7748736381777
12,1,48.390660759867245
246,1,707.6413390812634
240,1,80.44859770357742
63,1,110.76036793649963
50,1,48.35523400118102
33,1,664.3858132477254
62,1,47.243010004298704
243,1,23.757234360414905
11,1,66.6458202082004
18,1,289.9324436759324
215,1,85.96905210913924
94,1,64.86067112411287
74,1,218.74787524467
115,1,16.508283740868514
92,1,44.03737118957688
217,1,25.705365798251208
93,1,15.536241789965535
222,1,100.6614157198694
77,1,40.46194161288867
76,1,62.809323482352106
6,1502,457.9199999999998
8,1502,23.959999999999976
11,1502,63.31999999999996
12,1502,46.02999999999996
17,1502,282.34999999999974
18,1502,245.1699999999998
24,1502,213.70999999999978
25,1502,253.4999999999999
31,1502,192.92999999999975
32,1502,47.12999999999997
33,1502,651.6899999999991
34,1502,372.7599999999996
47,1502,124.87999999999994
49,1502,63.76999999999996
50,1502,48.54999999999996
61,1502,240.79999999999978
62,1502,48.16999999999996
63,1502,112.87999999999997
74,1502,292.6599999999999
76,1502,78.98999999999994
77,1502,74.26999999999995
92,1502,87.89999999999989
93,1502,25.10999999999999
94,1502,96.12999999999995
115,1502,17.929999999999996
156,1502,476.5799999999996
169,1502,690.6499999999997
215,1502,197.27999999999986
217,1502,59.169999999999966
222,1502,184.84999999999982
227,1502,720.7699999999996
229,1502,1656.349999999999
237,1502,235.5099999999999
240,1502,70.28999999999996
242,1502,27.759999999999987
243,1502,23.769999999999982
245,1502,385.3499999999997
246,1502,723.0899999999996
257,1502,175.27999999999986
266,1502,2109.2899999999986
270,1502,284.3099999999999
271,1502,767.2599999999995
273,1502,183.80999999999986
275,1502,2438.1399999999985
279,1502,522.6399999999995
285,1502,22811.94999999999
287,1502,608.5899999999995
288,1502,2772.9399999999982
6,1503,767.1899999999997
8,1503,39.259999999999984
11,1503,103.7799999999999
12,1503,75.37999999999992
17,1503,416.59999999999985
18,1503,350.1399999999998
24,1503,543.0899999999998
25,1503,431.57999999999964
31,1503,435.6699999999996
32,1503,77.16
33,1503,1099.3599999999992
34,1503,478.31999999999977
47,1503,133.69999999999987
49,1503,70.34999999999992
50,1503,51.26999999999995
61,1503,227.28999999999985
62,1503,48.96999999999998
63,1503,114.87999999999997
74,1503,255.41999999999993
76,1503,56.26999999999998
77,1503,40.91999999999996
92,1503,49.309999999999974
93,1503,14.679999999999994
94,1503,73.26999999999994
115,1503,18.729999999999983
156,1503,815.2499999999993
169,1503,847.9399999999995
215,1503,82.86999999999992
217,1503,26.419999999999973
222,1503,101.78999999999996
227,1503,1032.5799999999995
229,1503,2422.5999999999985
237,1503,395.48999999999967
240,1503,101.15999999999993
242,1503,39.90999999999996
243,1503,30.56999999999999
245,1503,465.9499999999998
246,1503,779.5799999999997
257,1503,903.529999999999
266,1503,1974.6699999999983
270,1503,1490.409999999999
271,1503,3134.319999999998
273,1503,947.2599999999991
275,1503,8449.619999999995
279,1503,713.3799999999998
285,1503,22836.839999999982
287,1503,761.3899999999994
288,1503,3028.4299999999994
6,1504,547.8199999999994
8,1504,31.04999999999999
11,1504,82.08999999999988
12,1504,59.569999999999936
17,1504,372.3399999999997
18,1504,309.10999999999973
24,1504,247.39999999999986
25,1504,301.8699999999997
31,1504,224.7899999999998
32,1504,53.37999999999998
33,1504,710.7999999999995
34,1504,472.9299999999997
47,1504,278.55999999999995
49,1504,161.14999999999998
50,1504,76.19999999999996
61,1504,671.3799999999993
62,1504,85.44999999999995
63,1504,200.35999999999987
74,1504,615.8099999999995
76,1504,141.69999999999987
77,1504,149.65999999999983
92,1504,155.15999999999994
93,1504,40.79999999999998
94,1504,123.78999999999994
115,1504,26.5
156,1504,449.87999999999977
169,1504,668.0199999999999
215,1504,298.69999999999976
217,1504,99.07999999999991
222,1504,372.25999999999965
227,1504,839.8299999999995
229,1504,1986.1899999999996
237,1504,398.0799999999996
240,1504,106.0599999999999
242,1504,41.88999999999998
243,1504,30.199999999999985
245,1504,486.36999999999944
246,1504,1024.1899999999996
257,1504,208.33999999999978
266,1504,3878.769999999998
270,1504,331.7299999999996
271,1504,982.4799999999993
273,1504,218.4299999999999
275,1504,3200.649999999998
279,1504,616.8999999999995
285,1504,22840.209999999992
287,1504,726.2299999999998
288,1504,2845.659999999998
6,1505,1235.2899999999993
8,1505,72.11999999999993
11,1505,190.56999999999982
12,1505,138.42999999999992
17,1505,526.1999999999997
18,1505,479.76999999999964
24,1505,926.3999999999997
25,1505,754.6
31,1505,783.7499999999992
32,1505,102.95999999999992
33,1505,1538.2199999999993
34,1505,540.0299999999996
47,1505,181.4099999999999
49,1505,135.2999999999998
50,1505,75.87999999999997
61,1505,590.5499999999995
62,1505,63.169999999999966
63,1505,148.04999999999998
74,1505,289.43999999999977
76,1505,56.06999999999998
77,1505,34.56999999999997
92,1505,39.989999999999974
93,1505,11.909999999999993
94,1505,66.73999999999992
115,1505,23.33999999999998
156,1505,1406.8999999999996
169,1505,890.2199999999992
215,1505,77.90999999999995
217,1505,21.649999999999984
222,1505,86.02999999999992
227,1505,1092.0699999999986
229,1505,2501.8099999999986
237,1505,453.70999999999964
240,1505,141.7999999999999
242,1505,55.92999999999998
243,1505,34.439999999999976
245,1505,493.63999999999965
246,1505,889.0299999999993
257,1505,681.7599999999994
266,1505,2208.1099999999997
270,1505,1570.6199999999997
271,1505,2139.4599999999987
273,1505,714.6999999999996
275,1505,4506.489999999997
279,1505,674.1299999999993
285,1505,22842.33999999998
287,1505,723.8799999999995
288,1505,2947.8099999999986
6,1506,431.59999999999974
8,1506,24.699999999999985
11,1506,65.36999999999993
12,1506,47.36999999999997
17,1506,287.84999999999985
18,1506,253.52999999999983
24,1506,194.52999999999994
25,1506,240.76999999999984
31,1506,184.86999999999998
32,1506,46.719999999999956
33,1506,642.5299999999995
34,1506,379.88999999999965
47,1506,142.0199999999999
49,1506,71.13999999999993
50,1506,50.77999999999995
61,1506,223.6499999999998
62,1506,46.209999999999965
63,1506,108.4199999999999
74,1506,248.31999999999985
76,1506,66.46999999999993
77,1506,41.189999999999976
92,1506,60.609999999999964
93,1506,18.659999999999986
94,1506,78.98999999999998
115,1506,18.91999999999999
156,1506,424.49999999999983
169,1506,689.8699999999997
215,1506,138.04999999999993
217,1506,40.83999999999996
222,1506,102.45999999999994
227,1506,792.7799999999993
229,1506,1906.809999999999
237,1506,258.13999999999976
240,1506,77.56999999999996
242,1506,30.629999999999963
243,1506,24.199999999999985
245,1506,397.97999999999973
246,1506,731.7599999999994
257,1506,224.45999999999984
266,1506,1940.0299999999986
270,1506,374.3099999999998
271,1506,1106.8499999999995
273,1506,235.35999999999981
275,1506,3923.33
279,1506,639.9099999999996
285,1506,22832.67999999999
287,1506,716.6199999999993
288,1506,2871.4199999999973
6,1507,204.3
8,1507,12.299999999999999
11,1507,32.800000000000004
12,1507,23.7
17,1507,194.70000000000002
18,1507,162.5
24,1507,86.60000000000001
25,1507,153.7
31,1507,86.99999999999999
32,1507,29.400000000000002
33,1507,381.80000000000007
34,1507,250.3
47,1507,96.3
49,1507,52.3
50,1507,41.4
61,1507,211.40000000000003
62,1507,46.400000000000006
63,1507,109.00000000000003
74,1507,652.5
76,1507,120.80000000000001
77,1507,147.90000000000003
92,1507,183.0
93,1507,28.1
94,1507,147.8
115,1507,17.7
156,1507,198.0
169,1507,446.1
215,1507,655.9000000000001
217,1507,158.0
222,1507,368.0
227,1507,669.1999999999999
229,1507,1403.0
237,1507,138.8
240,1507,49.0
242,1507,19.3
243,1507,16.0
245,1507,336.0
246,1507,636.8999999999999
257,1507,59.800000000000004
266,1507,2721.5
270,1507,87.20000000000002
271,1507,566.0
273,1507,62.60000000000001
275,1507,2356.7
279,1507,584.1
285,1507,23508.500000000004
287,1507,693.1000000000001
288,1507,2636.2
6,1508,258.1
