iter,est,noUso,usina,Indep,Coef
3,3,69,6,22610.0,-30.0
4,3,69,6,22610.0,-30.0
5,3,69,6,0.0,0.0
6,3,69,6,0.0,0.0
7,3,69,6,0.0,0.0
8,3,69,6,0.0,0.0
9,3,69,6,0.0,0.0
10,3,69,6,0.0,0.0
1,3,72,6,38420.00000000001,-30.0
2,3,72,6,16139.999999999998,-9.999999999999998
3,3,72,6,38420.0,-30.0
4,3,72,6,38420.0,-30.0
5,3,72,6,0.0,0.0
6,3,72,6,0.0,0.0
7,3,72,6,0.0,0.0
8,3,72,6,0.0,0.0
9,3,72,6,0.0,0.0
10,3,72,6,0.0,0.0
1,3,78,6,26570.000000000004,-30.0
2,3,78,6,12189.999999999998,-9.999999999999998
3,3,78,6,26570.0,-30.0
4,3,78,6,26570.0,-30.0
5,3,78,6,0.0,0.0
6,3,78,6,0.0,0.0
7,3,78,6,0.0,0.0
8,3,78,6,0.0,0.0
9,3,78,6,0.0,0.0
10,3,78,6,0.0,0.0
1,3,81,6,41540.0,-30.0
2,3,81,6,41540.0,-30.0
3,3,81,6,41540.0,-30.0
4,3,81,6,41540.0,-30.0
5,3,81,6,0.0,0.0
6,3,81,6,0.0,0.0
7,3,81,6,0.0,0.0
8,3,81,6,0.0,0.0
9,3,81,6,0.0,0.0
10,3,81,6,0.0,0.0
