NOME_UHE,NO,VAZAO
245,526,457.0
245,529,530.0
245,661,413.0
245,793,580.0
245,802,376.0
245,859,383.0
245,945,512.0
245,946,437.0
245,1012,539.0
245,1156,414.0
47,1,106.87912718970658
47,70,79.0
47,388,126.0
47,525,375.0
47,526,198.0
47,529,338.0
47,661,245.0
47,793,88.0
47,802,161.0
47,859,208.0
47,945,347.0
47,946,177.0
47,1012,334.0
47,1156,217.0
8,1,25.209505904841016
8,70,44.0
8,388,46.0
8,525,27.0
8,526,20.0
8,529,81.0
8,661,43.0
8,793,38.0
8,802,42.0
8,859,38.0
8,945,16.0
8,946,13.0
8,1012,70.0
8,1156,56.0
17,1,241.48128690578164
17,70,455.0
17,388,263.0
17,525,356.0
17,526,301.0
17,529,945.0
17,661,304.0
17,793,443.0
17,802,282.0
17,859,278.0
17,945,303.0
17,946,255.0
17,1012,920.0
17,1156,719.0
242,1,31.753072733769056
242,70,22.0
242,388,25.0
242,525,38.0
242,526,21.0
242,529,65.0
242,661,29.0
242,793,23.0
242,802,23.0
242,859,25.0
242,945,35.0
242,946,20.0
242,1012,68.0
242,1156,42.0
25,1,260.7748736381777
25,70,754.0
25,388,815.0
25,525,176.0
25,526,158.0
25,529,741.0
25,661,1083.0
25,793,626.0
25,802,1190.0
25,859,549.0
25,945,151.0
25,946,135.0
25,1012,721.0
25,1156,475.0
12,1,48.390660759867245
12,70,85.0
12,388,88.0
12,525,51.0
12,526,39.0
12,529,155.0
12,661,82.0
12,793,74.0
12,802,81.0
12,859,73.0
12,945,31.0
12,946,25.0
12,1012,135.0
12,1156,107.0
246,1,707.6413390812634
246,70,788.0
246,388,609.0
246,525,993.0
246,526,811.0
246,529,1027.0
246,661,646.0
246,793,835.0
246,802,592.0
246,859,600.0
246,945,981.0
246,946,762.0
246,1012,1040.0
246,1156,848.0
240,1,80.44859770357742
240,70,56.0
240,388,63.0
240,525,97.0
240,526,54.0
240,529,165.0
240,661,74.0
240,793,59.0
240,802,59.0
240,859,64.0
240,945,87.0
240,946,52.0
240,1012,172.0
240,1156,107.0
63,1,110.76036793649963
63,70,82.0
63,388,90.0
63,525,139.0
63,526,87.0
63,529,138.0
63,661,89.0
63,793,83.0
63,802,82.0
63,859,86.0
63,945,130.0
63,946,84.0
63,1012,132.0
63,1156,133.0
50,1,48.35523400118102
50,70,38.0
50,388,48.0
50,525,65.0
50,526,41.0
50,529,88.0
50,661,53.0
50,793,37.0
50,802,46.0
50,859,48.0
50,945,60.0
50,946,39.0
50,1012,92.0
50,1156,91.0
33,1,664.3858132477254
33,70,2555.0
33,388,1562.0
33,525,895.0
33,526,749.0
33,529,1325.0
33,661,1436.0
33,793,2450.0
33,802,1612.0
33,859,1294.0
33,945,825.0
33,946,658.0
33,1012,1408.0
33,1156,2156.0
62,1,47.243010004298704
62,70,35.0
62,388,38.0
62,525,59.0
62,526,37.0
62,529,59.0
62,661,38.0
62,793,35.0
62,802,35.0
62,859,37.0
62,945,55.0
62,946,36.0
62,1012,56.0
62,1156,57.0
243,1,23.757234360414905
243,70,35.0
243,388,23.0
243,525,43.0
243,526,32.0
243,529,34.0
243,661,21.0
243,793,36.0
243,802,18.0
243,859,19.0
243,945,40.0
243,946,29.0
243,1012,35.0
243,1156,43.0
11,1,66.6458202082004
11,70,116.0
11,388,121.0
11,525,70.0
11,526,53.0
11,529,214.0
11,661,113.0
11,793,101.0
11,802,112.0
11,859,100.0
11,945,43.0
11,946,34.0
11,1012,186.0
11,1156,147.0
18,1,289.9324436759324
18,70,324.0
18,388,222.0
18,525,444.0
18,526,320.0
18,529,682.0
18,661,235.0
18,793,340.0
18,802,211.0
18,859,202.0
18,945,394.0
18,946,288.0
18,1012,684.0
18,1156,632.0
215,1,85.96905210913924
215,70,259.0
215,388,96.0
215,525,123.0
215,526,224.0
215,529,108.0
215,661,146.0
215,793,328.0
215,802,185.0
215,859,112.0
215,945,137.0
215,946,230.0
215,1012,106.0
215,1156,223.0
94,1,64.86067112411287
94,70,72.0
94,388,48.0
94,525,53.0
94,526,80.0
94,529,74.0
94,661,55.0
94,793,136.0
94,802,79.0
94,859,56.0
94,945,54.0
94,946,83.0
94,1012,63.0
94,1156,96.0
74,1,218.74787524467
74,70,136.0
74,388,240.0
74,525,211.0
74,526,204.0
74,529,879.0
74,661,212.0
74,793,185.0
74,802,145.0
74,859,181.0
74,945,207.0
74,946,187.0
74,1012,746.0
74,1156,169.0
115,1,16.508283740868514
115,70,13.0
115,388,13.0
115,525,15.0
115,526,10.0
115,529,31.0
115,661,12.0
115,793,15.0
115,802,11.0
115,859,13.0
115,945,15.0
115,946,10.0
115,1012,29.0
115,1156,11.0
92,1,44.03737118957688
92,70,66.0
92,388,32.0
92,525,36.0
92,526,65.0
92,529,58.0
92,661,28.0
92,793,117.0
92,802,44.0
92,859,24.0
92,945,36.0
92,946,64.0
92,1012,46.0
92,1156,91.0
217,1,25.705365798251208
217,70,65.0
217,388,14.0
217,525,20.0
217,526,54.0
217,529,9.0
217,661,28.0
217,793,105.0
217,802,96.0
217,859,18.0
217,945,20.0
217,946,55.0
217,1012,9.0
217,1156,22.0
93,1,15.536241789965535
93,70,43.0
93,388,8.0
93,525,8.0
93,526,21.0
93,529,25.0
93,661,9.0
93,793,109.0
93,802,23.0
93,859,6.0
93,945,8.0
93,946,20.0
93,1012,17.0
93,1156,34.0
222,1,100.6614157198694
222,70,48.0
222,388,71.0
222,525,42.0
222,526,38.0
222,529,217.0
222,661,73.0
222,793,54.0
222,802,32.0
222,859,77.0
222,945,43.0
222,946,35.0
222,1012,163.0
222,1156,118.0
77,1,40.46194161288867
77,70,19.0
77,388,28.0
77,525,17.0
77,526,15.0
77,529,87.0
77,661,29.0
77,793,22.0
77,802,13.0
77,859,31.0
77,945,17.0
77,946,14.0
77,1012,65.0
77,1156,47.0
76,1,62.809323482352106
76,70,34.0
76,388,69.0
76,525,53.0
76,526,30.0
76,529,104.0
76,661,78.0
76,793,41.0
76,802,30.0
76,859,46.0
76,945,51.0
76,946,29.0
76,1012,103.0
76,1156,99.0
6,1502,1210.0
8,1502,34.666666666666664
11,1502,91.66666666666666
12,1502,66.33333333333333
17,1502,272.66666666666663
18,1502,215.33333333333331
24,1502,408.3333333333333
25,1502,318.66666666666663
31,1502,354.99999999999994
32,1502,60.33333333333333
33,1502,1651.6666666666665
34,1502,287.66666666666663
47,1502,79.0
49,1502,33.33333333333333
50,1502,34.0
61,1502,100.66666666666666
62,1502,35.33333333333333
63,1502,82.33333333333333
74,1502,127.33333333333333
76,1502,30.666666666666664
77,1502,8.333333333333332
92,1502,36.666666666666664
93,1502,14.666666666666666
94,1502,63.33333333333333
115,1502,11.333333333333332
156,1502,861.9999999999999
169,1502,778.0
215,1502,130.0
217,1502,34.0
222,1502,21.0
227,1502,2164.0
229,1502,6278.0
237,1502,190.0
240,1502,44.666666666666664
242,1502,17.666666666666664
243,1502,18.333333333333332
245,1502,361.66666666666663
246,1502,532.3333333333333
257,1502,210.0
266,1502,1548.6666666666665
270,1502,712.3333333333333
271,1502,980.3333333333333
273,1502,220.0
275,1502,2512.0
279,1502,462.99999999999994
285,1502,22807.666666666664
287,1502,540.3333333333333
288,1502,2956.333333333333
6,1503,773.1304347826083
8,1503,46.30434782608693
11,1503,122.43478260869558
12,1503,88.86956521739127
17,1503,424.782608695652
18,1503,346.3913043478259
24,1503,603.9130434782604
25,1503,458.2173913043477
31,1503,475.3913043478259
32,1503,88.56521739130432
33,1503,1220.391304347825
34,1503,503.73913043478234
47,1503,128.60869565217382
49,1503,76.26086956521738
50,1503,50.82608695652172
61,1503,241.78260869565207
62,1503,50.17391304347823
63,1503,117.69565217391298
74,1503,269.1304347826086
76,1503,59.21739130434781
77,1503,40.65217391304346
92,1503,54.130434782608674
93,1503,17.82608695652173
94,1503,81.60869565217386
115,1503,15.608695652173909
156,1503,1107.2173913043473
169,1503,880.0869565217389
215,1503,121.21739130434776
217,1503,34.69565217391304
222,1503,101.17391304347821
227,1503,925.9999999999995
229,1503,1938.5652173913033
237,1503,363.4782608695651
240,1503,108.13043478260863
242,1503,42.56521739130433
243,1503,32.130434782608674
245,1503,491.3913043478258
246,1503,912.3478260869559
257,1503,632.0869565217388
266,1503,2109.3043478260856
270,1503,1318.0434782608688
271,1503,1487.608695652173
273,1503,662.6956521739128
275,1503,3103.652173913042
279,1503,599.4347826086954
285,1503,22816.999999999985
287,1503,627.1739130434779
288,1503,2848.0434782608677
6,1504,1337.7142857142858
8,1504,48.857142857142854
11,1504,129.28571428571428
12,1504,93.71428571428571
17,1504,307.85714285714283
18,1504,268.0
24,1504,725.0
25,1504,567.5714285714286
31,1504,664.7142857142858
32,1504,91.28571428571429
33,1504,1345.9999999999998
34,1504,410.0
47,1504,85.99999999999999
49,1504,37.57142857142857
50,1504,42.71428571428571
61,1504,143.71428571428572
62,1504,41.42857142857142
63,1504,97.14285714285715
74,1504,184.85714285714283
76,1504,36.28571428571428
77,1504,20.0
92,1504,33.285714285714285
93,1504,10.285714285714285
94,1504,72.57142857142857
115,1504,12.14285714285714
156,1504,1349.2857142857142
169,1504,973.1428571428571
215,1504,54.0
217,1504,20.0
222,1504,49.857142857142854
227,1504,1081.857142857143
229,1504,2574.7142857142853
237,1504,268.0
240,1504,68.0
242,1504,26.857142857142854
243,1504,26.142857142857142
245,1504,454.85714285714283
246,1504,691.8571428571428
257,1504,1299.7142857142856
266,1504,1761.4285714285713
270,1504,1706.7142857142856
271,1504,5793.285714285714
273,1504,1362.4285714285713
275,1504,8896.857142857143
279,1504,705.7142857142857
285,1504,22812.571428571428
287,1504,723.2857142857143
288,1504,3095.0
6,1505,1294.9999999999993
8,1505,82.0666666666666
11,1505,216.93333333333328
12,1505,157.59999999999994
17,1505,506.86666666666645
18,1505,426.86666666666645
24,1505,963.9999999999997
25,1505,643.5999999999998
31,1505,705.9999999999998
32,1505,106.3333333333333
33,1505,1493.866666666666
34,1505,525.3333333333331
47,1505,143.5333333333333
49,1505,72.19999999999996
50,1505,54.53333333333331
61,1505,273.26666666666654
62,1505,43.26666666666665
63,1505,101.39999999999996
74,1505,238.7333333333332
76,1505,46.59999999999997
77,1505,32.33333333333332
92,1505,36.99999999999998
93,1505,14.66666666666666
94,1505,63.39999999999997
115,1505,17.06666666666666
156,1505,1452.5333333333326
169,1505,1047.3999999999996
215,1505,67.53333333333329
217,1505,17.46666666666666
222,1505,80.79999999999998
227,1505,1115.2666666666662
229,1505,2379.8666666666654
237,1505,450.93333333333305
240,1505,112.26666666666662
242,1505,44.33333333333332
243,1505,33.466666666666654
245,1505,490.7333333333331
246,1505,816.3999999999996
257,1505,927.8666666666662
266,1505,1985.799999999999
270,1505,1813.9999999999989
271,1505,2645.733333333332
273,1505,972.7333333333327
275,1505,4425.466666666664
279,1505,599.9999999999998
285,1505,22861.19999999999
287,1505,652.8666666666666
288,1505,2949.666666666666
6,1506,470.0
8,1506,27.5
11,1506,73.0
12,1506,53.0
17,1506,417.0
18,1506,491.5
24,1506,156.0
25,1506,180.0
31,1506,149.0
32,1506,64.0
33,1506,799.5
34,1506,697.5
47,1506,206.5
49,1506,101.5
50,1506,73.0
61,1506,305.5
62,1506,57.5
63,1506,135.0
74,1506,155.0
76,1506,31.5
77,1506,9.5
92,1506,23.5
93,1506,9.0
94,1506,50.5
115,1506,15.0
156,1506,274.5
169,1506,671.0
215,1506,30.5
217,1506,8.0
222,1506,24.0
227,1506,1083.0
229,1506,2646.5
237,1506,881.5
240,1506,168.5
242,1506,66.5
243,1506,44.5
245,1506,504.0
246,1506,850.5
257,1506,228.5
266,1506,1733.5
270,1506,248.5
271,1506,3120.0
273,1506,240.0
275,1506,19021.0
279,1506,755.5
285,1506,22816.5
287,1506,788.0
288,1506,3257.5
6,1507,2738.4615384615377
8,1507,157.76923076923072
11,1507,416.9999999999999
12,1507,302.84615384615375
17,1507,712.4615384615382
18,1507,689.6923076923075
24,1507,834.9230769230767
25,1507,1370.307692307692
31,1507,1039.384615384615
32,1507,136.92307692307688
33,1507,2182.0769230769224
34,1507,569.9999999999999
47,1507,133.2307692307692
49,1507,90.69230769230765
50,1507,58.923076923076906
61,1507,264.3846153846153
62,1507,48.76923076923075
63,1507,114.38461538461534
74,1507,237.15384615384605
76,1507,50.76923076923075
77,1507,35.23076923076921
92,1507,28.99999999999999
93,1507,9.538461538461535
94,1507,57.15384615384614
115,1507,58.38461538461537
156,1507,2530.230769230768
169,1507,897.8461538461535
215,1507,60.69230769230767
217,1507,9.846153846153843
222,1507,87.30769230769228
227,1507,999.8461538461535
229,1507,2139.846153846153
237,1507,395.5384615384614
240,1507,86.30769230769228
242,1507,34.076923076923066
243,1507,36.30769230769229
245,1507,484.46153846153834
246,1507,817.0769230769229
257,1507,463.076923076923
266,1507,2047.6153846153838
270,1507,1342.8461538461536
271,1507,2647.461538461537
273,1507,485.30769230769215
275,1507,5295.230769230767
