"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"52";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;103;11,336;11,108;1,96;0,528;10,808;11,864;6,029;5,921;5,677;6,427;562,789;438,998;0,601;0,571;-0,471;-0,579;0,256;0,02;1;0,622;0,476;0,437;0,664;0,748;0,346
"53";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;104;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"54";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;109;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"55";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;110;32,726;32,886;1,96;0,796;31,93;33,522;9,081;9,408;8,551;9,682;562,789;438,998;0,329;0,277;-0,606;-0,743;0,444;0,022;1;0,825;0,89;0,621;0,846;0,582;0,707
"56";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;111;150,59;148,712;1,96;9,299;141,291;159,889;106,091;106,373;99,898;113,11;562,789;438,998;0,669;0,774;-0,17;0,078;4,354;0,036;0,996;0,82;0,309;0,25;0,838;0,968;0,309
"57";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;112;1,81;1,7;1,96;0,172;1,638;1,982;1,966;1,889;1,851;2,096;562,789;438,998;1,78;1,888;3,611;4,375;0,114;0,014;1;0,46;0,233;0,845;0,594;0,726;0,426
"58";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;113;40,042;39,414;1,96;3,327;36,715;43,369;37,951;36,428;35,736;40,462;562,789;438,998;2,018;2,004;4,698;4,92;1,32;0,016;1;0,827;0,255;0,71;0,853;0,753;0,766
"59";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;114;44,008;43,322;1,96;3,56;40,448;47,568;40,612;39,044;38,241;43,298;562,789;438,998;2,039;2,035;4,853;5,119;1,426;0,014;1;0,823;0,254;0,703;0,856;0,739;0,782
"60";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;115;15,236;15,036;1,96;0,872;14,364;16,108;9,944;10,108;9,364;10,602;562,789;438,998;1,551;1,575;1,067;1,059;0,412;0,07;0,541;0,798;0,652;0,834;0,832;0,85;0,674
"61";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;116;7,944;7,924;1,96;0,243;7,701;8,187;2,768;2,865;2,606;2,951;562,789;438,998;0,431;0,496;-0,502;-0,465;0,148;0,02;1;0,928;0,883;0,799;0,949;0,573;0,841
"62";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;117;21,756;21,764;1,96;0,505;21,251;22,261;5,766;5,996;5,429;6,147;562,789;438,998;0,44;0,482;-0,463;-0,475;0,264;0,02;1;0,986;0,728;1;0,987;0,555;0,863
"63";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;118;0;0;1,96;0;0;0;0;0;0;0;562,789;438,998;NA;NA;NA;NA;0;0;1;1;NA;NA;1;1;NA
"64";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;119;41,092;41,074;1,96;1,013;40,079;42,105;11,552;11,985;10,878;12,316;562,789;438,998;0,437;0,477;-0,5;-0,525;0,522;0,02;1;0,984;0,774;0,966;0,983;0,6;0,88
"65";"avaliaArvores/A_50_5_2";"BKAssimetrico_ENA";3;250;134;77,61;76,99;1,96;3,406;74,204;81,016;38,86;38,501;36,592;41,431;562,789;438,998;0,451;0,455;-1,149;-1,177;1,008;0,026;1;0,836;0,876;0,472;0,844;0,814;0,248
