EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR       1ANGRA 1           1 11012020  38    640.00                                                                                                                                          
13ELENUCLEAR      13ANGRA 2           1 22062020  30   1350.00                                                                                                                                          
68PETROBRAS      211BAIXADA FLU       1 19102020  46    172.00                                                                                                                                          
68PETROBRAS      211BAIXADA FLU       2 19102020  46    172.00                                                                                                                                          
68PETROBRAS      211BAIXADA FLU       3 19102020  46    186.00                                                                                                                                          
68PETROBRAS       97CUBATAO           1 27072020   5    166.13                                                                                                                                          
68PETROBRAS       97CUBATAO           1 05092020  16    166.13                                                                                                                                          
68PETROBRAS       97CUBATAO           2 05092020  16     49.87                                                                                                                                          
92TERNIUM         65DO ATLAN_CSA      1 01062020   2    254.80                                                                                                                                          
92TERNIUM         65DO ATLAN_CSA      1 24092020   3    254.80                                                                                                                                          
92TERNIUM         65DO ATLAN_CSA      1 01102020  10    254.80                                                                                                                                          
92TERNIUM         65DO ATLAN_CSA      1 01112020  11    254.80                                                                                                                                          
92TERNIUM         65DO ATLAN_CSA      1 01122020   2    254.80                                                                                                                                          
68PETROBRAS       63IBIRITE           1 09032020   6    151.34                                                                                                                                          
68PETROBRAS       63IBIRITE           1 31082020   6    151.34                                                                                                                                          
68PETROBRAS       63IBIRITE           2 09032020   6     74.66                                                                                                                                          
68PETROBRAS       63IBIRITE           2 31082020   6     74.66                                                                                                                                          
68PETROBRAS       54JUIZ DE FORA      2 02032020   3     43.11                                                                                                                                          
68PETROBRAS       54JUIZ DE FORA      2 10082020   6     43.11                                                                                                                                          
68PETROBRAS       54JUIZ DE FORA      1 14092020   6     43.94                                                                                                                                          
68PETROBRAS       54JUIZ DE FORA      1 10112020  40     43.94                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     1 01062020  31     96.41                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     1 19102020   5     96.41                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     2 16032020  12     96.39                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     2 19102020   5     96.39                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     3 19102020   5     96.91                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     4 04062020   4     96.67                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     4 19102020   5     96.67                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     5 01012020  31     92.85                                                                                                                                          
68PETROBRAS      110N.PIRATININGA     6 01012020  31     92.88                                                                                                                                          
60NORTEFLU       174NORTEFLU-4        1 20042020   6    126.78                                                                                                                                          
60NORTEFLU       174NORTEFLU-4        1 01092020  19    126.78                                                                                                                                          
68PETROBRAS       62SEROPEDICA        1 10032020   2     47.33                                                                                                                                          
68PETROBRAS       62SEROPEDICA        2 15092020  40     47.91                                                                                                                                          
68PETROBRAS       62SEROPEDICA        3 13042020   2     48.70                                                                                                                                          
19FURNAS          86ST.CRUZ NOVA      1 01052020  39    175.00                                                                                                                                          
19FURNAS          86ST.CRUZ NOVA      1 03102020  60    175.00                                                                                                                                          
19FURNAS          86ST.CRUZ NOVA      2 09062020  91    175.00                                                                                                                                          
19FURNAS          86ST.CRUZ NOVA      2 02122020  30    175.00                                                                                                                                          
68PETROBRAS       90TERMOMACAE        1 18052020  55     46.99                                                                                                                                          
68PETROBRAS       90TERMOMACAE        2 18052020  55     46.27                                                                                                                                          
68PETROBRAS       90TERMOMACAE        5 13072020  55     45.96                                                                                                                                          
68PETROBRAS       90TERMOMACAE        6 13072020  55     47.70                                                                                                                                          
68PETROBRAS       90TERMOMACAE        7 19042020   7     46.60                                                                                                                                          
68PETROBRAS       90TERMOMACAE        8 19042020   7     46.68                                                                                                                                          
68PETROBRAS       90TERMOMACAE       11 23032020  55     45.86                                                                                                                                          
68PETROBRAS       90TERMOMACAE       12 23032020  55     46.82                                                                                                                                          
68PETROBRAS       90TERMOMACAE       15 06042020   5     46.27                                                                                                                                          
68PETROBRAS       47TERMORIO          1 16032020  10    106.60                                                                                                                                          
68PETROBRAS       47TERMORIO          1 02112020   5    106.60                                                                                                                                          
68PETROBRAS       47TERMORIO          2 02112020  10    108.31                                                                                                                                          
68PETROBRAS       47TERMORIO          4 30112020   5    107.59                                                                                                                                          
68PETROBRAS       47TERMORIO          5 01062020   5    107.28                                                                                                                                          
68PETROBRAS       47TERMORIO          7 20072020  10    106.57                                                                                                                                          
68PETROBRAS       47TERMORIO          8 22062020   5    105.59                                                                                                                                          
