"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf95";"mediaLimSup95";"mediaLimInf99";"mediaLimSup99";"error_margin_mean_95";"error_margin_mean_99";"Low_ci_95_mean_orig";"Low_ci_99_mean_orig";"Low_ci_95_mean_red";"Low_ci_99_mean_red";"Low_ci_95_var_orig";"Low_ci_99_var_orig";"Low_ci_95_var_red";"Low_ci_99_var_red";"Sup_ci_95_mean_orig";"Sup_ci_99_mean_orig";"Sup_ci_95_mean_red";"Sup_ci_99_mean_red";"Sup_ci_95_var_orig";"Sup_ci_99_var_orig";"Sup_ci_95_var_red";"Sup_ci_99_var_red";"stdOrig";"stdRed";"stdLimInf95";"stdLimSup95";"chi2_lower95";"chi2_upper95";"stdLimInf99";"stdLimSup99";"chi2_lower99";"chi2_upper99";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"11";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;290;686,228;690,946;1,96;2564,408;640,268;732,188;625,827;746,629;45,96;60,401;643,987;633,3;618,584;593,113;222673,619;208615,752;189698,1;166716,916;734,321;744,648;762,981;790,362;342490,52;362210,442;375412,101;431084,126;524,34;520,52;493,731;559,026;562,789;438,998;484,63;570,589;584,125;421,385;1,769;1,73;4,337;4,277;11,438;0,02;1;0,907;0,256;0,668;0,924;0,929;0,986
"12";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;285;23413,208;23417,078;1,96;2564,408;23401,132;23425,284;23397,337;23429,079;12,076;15,871;23402,049;23397,282;23398,146;23391,903;16599,979;15826,158;15285,997;14635,923;23424,85;23428,167;23436,742;23445,966;21347,359;22474,405;22820,197;24224,017;137,774;137,785;129,732;146,888;562,789;438,998;127,34;149,927;584,125;421,385;0,302;0,303;-0,008;-0,007;5,122;0,02;1;0,717;0,32;0,363;0,739;1;0,749
"13";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;273;800,006;794,444;1,96;2564,408;704,394;895,618;674,351;925,661;95,612;125,655;705,111;680,843;652,431;623,93;851703,33;769064,112;705066,657;589390,153;899,182;917,876;967,618;1003,644;1558275,136;1687719,657;1845378,967;2014495,219;1090,807;1085,778;1027,13;1162,966;562,789;438,998;1008,197;1187,022;584,125;421,385;2,811;2,801;9,363;9,299;12,534;0,018;1;0,947;0,229;0,293;0,959;0,977;0,056
"14";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;257;763,09;757,768;1,96;2564,408;671,891;854,289;643,234;882,946;91,199;119,856;670,254;646,521;614,218;586,785;787502,222;678519,678;615742,86;532290,075;864,386;893,541;911,852;968,011;1442113,228;1587590,257;1629027,99;1861577,148;1040,463;1035,63;979,724;1109,291;562,789;438,998;961,665;1132,237;584,125;421,385;2,811;2,801;9,361;9,299;11,962;0,016;1;0,947;0,229;0,294;0,946;0,973;0,056
"15";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;288;3184,762;3181,186;1,96;2564,408;3145,016;3224,508;3132,527;3236,997;39,746;52,235;3146,974;3135,805;3118,243;3104,022;175749,585;168517,845;160893,36;149884,743;3227,782;3238,326;3243,706;3269,247;237076,226;248272,52;264762,984;287270,802;453,451;456,848;426,98;483,448;562,789;438,998;419,11;493,448;584,125;421,385;1,052;1,074;0,975;1,072;11,776;0,02;1;0,919;0,609;0,659;0,928;0,93;0,346
"16";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;145;117,746;117,73;1,96;2564,408;113,722;121,77;112,457;123,035;4,024;5,289;114,166;113,326;112,622;111,455;633,158;532,044;478,191;412,153;122,236;123,291;124,898;127,792;4020,388;4843,32;5172,949;6265,185;45,914;45,414;43,233;48,951;562,789;438,998;42,436;49,963;584,125;421,385;7,857;7,784;81,727;80,866;0,56;0,014;1;0,996;0,01;0,543;0,999;0,979;0,382
"17";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;279;700,144;702,842;1,96;2564,408;682,084;718,204;676,409;723,879;18,06;23,735;681,627;677,81;672,552;666,469;34286,991;32039,901;30500,084;28316,228;718,979;726,312;731,907;741,696;51663,4;53655,969;58873,62;62457,057;206,04;205,97;194,012;219,67;562,789;438,998;190,436;224,214;584,125;421,385;1,231;1,239;3,812;3,769;6,446;0,028;1;0,866;0,165;0,73;0,895;0,994;0,427
"18";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;287;712,03;715,406;1,96;2564,408;698,341;725,719;694,04;730,02;13,689;17,99;697,676;692,521;692,847;685,216;20471,475;19502,431;18038,403;17020,209;725,444;728,416;736,317;742,562;28100,763;29523,543;30184,255;32935,833;156,171;154,448;147,054;166,502;562,789;438,998;144,343;169,946;584,125;421,385;-0,715;-0,728;1,1;1,143;4,592;0,02;1;0,779;0,588;0,673;0,807;0,881;0,609
"19";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;270;1104,072;1102,258;1,96;2564,408;987,646;1220,498;951,063;1257,081;116,426;153,009;985,717;960,366;918,119;882,169;1366999,509;1231518,953;1115867,98;993480,749;1226,755;1256,437;1288,357;1326,529;2178220,53;2319246,504;2517736,541;2830887,167;1328,269;1333,123;1250,729;1416,136;562,789;438,998;1227,675;1445,429;584,125;421,385;2,08;2,134;4,636;5,047;19,818;0,012;1;0,986;0,571;0,349;0,986;0,973;0,053
"20";"avaliaArvores/A_50_5_2_Teste";"BKAssimetrico";3;250;227;1124,762;1121,702;1,96;2564,408;1079,061;1170,463;1064,7;1184,824;45,701;60,062;1085,939;1075,489;1052,157;1033,06;131427,721;121810,291;117243,538;107119,25;1172,798;1191,117;1207,003;1229,251;459710,624;540110,789;595336,046;697414,104;521,392;514,888;490,955;555,883;562,789;438,998;481,905;567,381;584,125;421,385;4,961;4,707;43,253;40,204;9,12;0,018;1;0,939;0,272;0,854;0,957;0,975;0,141
