TIPO,CASO,FALHA,EST,TESTE,NPOSTOS,PERC.ENA
avaliaArvores/A_50_5_2_Teste,BKAssimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,24.0,43.71
avaliaArvores/A_50_5_2_Teste,BKSimetrico,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,41.0,49.1
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinear,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,63.0,73.52
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoLinearQuad,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,49.0,51.01
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoPacote,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,68.0,77.25
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProb,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,61.0,65.18
avaliaArvores/A_50_5_2_Teste,KMeansAssimetricoProbQuad,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,65.0,74.2
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinear,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,16.0,4.56
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoLinearQuad,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,16.0,4.7
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoPacote,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,19.0,5.44
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProb,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,15.0,4.66
avaliaArvores/A_50_5_2_Teste,KMeansSimetricoProbQuad,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,14.000000000000002,3.42
avaliaArvores/A_50_5_2_Teste,NeuralGas,FALHA_W-TEST,2,FALHOU_AO_MENOS_UMTESTE,63.0,73.69
