iter,est,node,ilha,Demanda,GT,GH,Deficit,CustoPresente
1,1,1,1,900.0,900.0,0.0,0.0,22500.0
2,1,1,1,900.0,900.0000000000001,0.0,-1.4474198876318186e-14,23235.735735735736
