iter,est,node,ilha,codigoBarraDE,codigoBarraPARA,capacidade,fluxo,folga
1,1,1,1,1,2,500.0,-0.0,-9999.0
1,1,1,1,1,4,500.0,51.4,-9999.0
1,1,1,1,1,5,500.0,48.6,-9999.0
1,1,1,1,2,4,500.0,51.4,-9999.0
1,1,1,1,2,6,500.0,48.6,-9999.0
1,1,1,1,3,9,500.0,-176.4,-9999.0
1,1,1,1,3,24,245.5,276.4,-9999.0
1,1,1,1,4,9,500.0,202.8,-9999.0
1,1,1,1,5,10,500.0,148.6,-9999.0
1,1,1,1,6,10,500.0,148.6,-9999.0
1,1,1,1,7,8,500.0,100.0,-9999.0
1,1,1,1,8,9,500.0,128.5,-9999.0
1,1,1,1,8,10,500.0,71.5,-9999.0
1,1,1,1,9,11,500.0,144.5,-9999.0
1,1,1,1,9,12,500.0,110.3,-9999.0
1,1,1,1,10,11,500.0,201.5,-9999.0
1,1,1,1,10,12,500.0,167.3,-9999.0
1,1,1,1,11,13,500.0,62.5,-9999.0
1,1,1,1,11,14,500.0,283.5,-9999.0
1,1,1,1,12,13,500.0,96.7,-9999.0
1,1,1,1,12,23,500.0,180.9,-9999.0
1,1,1,1,13,23,500.0,84.2,-9999.0
1,1,1,1,14,16,500.0,208.5,-9999.0
1,1,1,1,15,16,500.0,-17.7,-9999.0
1,1,1,1,15,21,500.0,144.1,-9999.0
1,1,1,1,15,24,500.0,-201.4,-9999.0
1,1,1,1,16,17,500.0,155.9,-9999.0
1,1,1,1,16,19,500.0,-40.1,-9999.0
1,1,1,1,17,18,500.0,40.4,-9999.0
1,1,1,1,17,22,500.0,40.4,-9999.0
1,1,1,1,18,21,500.0,-34.6,-9999.0
1,1,1,1,19,20,500.0,-115.1,-9999.0
1,1,1,1,20,23,500.0,-190.1,-9999.0
1,1,1,1,21,22,500.0,34.6,-9999.0
2,1,1,1,1,2,500.0,-0.0,-9999.0
2,1,1,1,1,4,500.0,65.4,-9999.0
2,1,1,1,1,5,500.0,34.6,-9999.0
2,1,1,1,2,4,500.0,65.3,-9999.0
2,1,1,1,2,6,500.0,34.7,-9999.0
2,1,1,1,3,9,500.0,-243.5,-9999.0
2,1,1,1,3,24,245.5,245.5,0.0
2,1,1,1,4,9,500.0,230.7,-9999.0
2,1,1,1,5,10,500.0,134.6,-9999.0
2,1,1,1,6,10,500.0,134.7,-9999.0
2,1,1,1,7,8,500.0,100.0,-9999.0
2,1,1,1,8,9,500.0,163.4,-9999.0
2,1,1,1,8,10,500.0,36.6,-9999.0
2,1,1,1,9,11,500.0,79.7,-9999.0
2,1,1,1,9,12,500.0,70.8,-9999.0
2,1,1,1,10,11,500.0,206.4,-9999.0
2,1,1,1,10,12,500.0,197.5,-9999.0
2,1,1,1,11,13,500.0,79.2,-9999.0
2,1,1,1,11,14,500.0,307.0,-9999.0
2,1,1,1,12,13,500.0,88.0,-9999.0
2,1,1,1,12,23,500.0,180.3,-9999.0
2,1,1,1,13,23,500.0,92.2,-9999.0
2,1,1,1,14,16,500.0,232.0,-9999.0
2,1,1,1,15,16,500.0,-40.9,-9999.0
2,1,1,1,15,21,500.0,136.4,-9999.0
2,1,1,1,15,24,500.0,-170.5,-9999.0
2,1,1,1,16,17,500.0,163.6,-9999.0
2,1,1,1,16,19,500.0,-47.5,-9999.0
2,1,1,1,17,18,500.0,44.3,-9999.0
2,1,1,1,17,22,500.0,44.3,-9999.0
2,1,1,1,18,21,500.0,-30.7,-9999.0
2,1,1,1,19,20,500.0,-122.5,-9999.0
2,1,1,1,20,23,500.0,-197.5,-9999.0
2,1,1,1,21,22,500.0,30.7,-9999.0
