iter,est,node,ilha,Demanda,GT,GH,Deficit,CustoPresente
1,1,1,1,100.0,100.0,0.0,0.0,750.0
1,2,2,1,200.0,150.0,50.0,0.0,1250.0
1,2,4,1,200.0,150.0,30.0,20.0,3250.0
