posto,estagio,media_reduzida,media_original,desvio_reduzido,desvio_original
17,2,382.5,487.16,197.28,206.44
66,2,10668.0,11172.54,2819.94,1986.09
275,2,5579.0,5364.53,2554.07,1135.64
156,2,568.0,595.78,366.28,164.41
211,2,99.0,157.79,31.11,72.48
22,2,46.0,57.16,15.56,13.55
25,2,281.5,316.7,68.59,112.43
292,2,4875.5,4486.95,439.11,739.72
17,3,703.0,709.63,315.25,289.91
66,3,14044.4,14036.57,3375.61,2940.43
275,3,9050.4,8907.85,2489.06,2565.97
156,3,720.8,730.89,527.53,443.96
211,3,189.0,192.92,89.62,88.54
22,3,84.6,84.5,44.59,39.24
25,3,421.0,425.74,214.2,192.26
292,3,9934.4,9925.88,2035.96,1914.01
17,4,607.7,604.09,182.41,186.87
66,4,13452.5,13651.34,2244.45,2090.37
275,4,12951.5,12386.22,2911.81,2538.97
156,4,678.4,678.07,379.47,406.27
211,4,149.2,139.8,56.02,49.93
22,4,138.3,128.72,66.87,63.97
25,4,371.0,360.79,162.79,140.46
292,4,13118.2,12755.7,943.7,1167.77
