etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
BK,1,0,4,73,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,73,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,76,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,76,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,76,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,79,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,79,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,79,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,82,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,82,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,82,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,85,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,85,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,85,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,88,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,88,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,88,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,91,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,91,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,91,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,94,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,94,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,94,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,97,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,97,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,97,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,100,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,100,1.0,ANGRA2,2,50000.0,20.0,1.0e6
