"";"TIPO";"CASO";"EST";"NOS";"POSTO";"mediaOrig";"mediaRed";"limT";"error_media";"mediaLimInf";"mediaLimSup";"stdOrig";"stdRed";"stdLimInf";"stdLimSup";"chi2_lower";"chi2_upper";"assimOrig";"assimRed";"kurtOrig";"kurtRed";"DWasserstein";"KS_Test";"KS_p_valor";"T_p_valor";"F_p_valor";"L_p_valor";"P_Boot_mean";"P_Boot_Variance";"Wilcoxon_p_valor"
"22";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;33;771,6;771,6;1,96;18,405;753,195;790,005;209,983;209,983;197,725;223,874;562,789;438,998;0,935;0,935;-0,322;-0,322;0;0;1;1;1;1;1;1;1
"23";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;34;445,552;445,552;1,96;10,174;435,378;455,726;116,075;116,075;109,299;123,754;562,789;438,998;-0,182;-0,182;-1,409;-1,409;0;0;1;1;1;1;1;1;1
"24";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;47;272,314;272,314;1,96;6,786;265,528;279,1;77,423;77,423;72,904;82,545;562,789;438,998;0,628;0,628;-0,93;-0,93;0;0;1;1;1;1;1;1;1
"25";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;48;6,112;6,112;1,96;0,229;5,883;6,341;2,612;2,612;2,46;2,785;562,789;438,998;1,303;1,303;1,226;1,226;0;0;1;1;1;1;1;1;1
"26";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;49;110,22;110,22;1,96;4,302;105,918;114,522;49,081;49,081;46,216;52,328;562,789;438,998;1,293;1,293;1,429;1,429;0;0;1;1;1;1;1;1;1
"27";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;50;112,412;112,412;1,96;4,652;107,76;117,064;53,072;53,072;49,974;56,583;562,789;438,998;0,998;0,998;-0,198;-0,198;0;0;1;1;1;1;0,999;1;1
"28";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;51;9,784;9,784;1,96;0,406;9,378;10,19;4,631;4,631;4,361;4,937;562,789;438,998;1,121;1,121;0,057;0,057;0;0;1;1;1;1;0,997;1;1
"29";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;52;19,688;19,688;1,96;0,81;18,878;20,498;9,247;9,247;8,707;9,858;562,789;438,998;1,064;1,064;-0,053;-0,053;0;0;1;1;1;1;0,998;1;1
"30";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;57;308,426;308,426;1,96;26,592;281,834;335,018;303,378;303,378;285,668;323,447;562,789;438,998;1,488;1,488;0,579;0,579;0;0;1;1;1;1;1;1;1
"31";"avaliaArvores/A_125_2_2";"BKAssimetrico";4;500;61;293,946;293,946;1,96;14,547;279,399;308,493;165,964;165,964;156,276;176,943;562,789;438,998;1,393;1,393;0,967;0,967;0;0;1;1;1;1;1;1;1
